Precon,Solver,SeqGS,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,GradientSolver,pre,post,cells,perf
1,1,0,1,0,0,0,1,2,5,50,7319.55857142857
1,1,1,0,0,0,1,0,1,0,50,13218.689285714287
1,1,0,1,0,0,1,0,0,4,51,7655.855357142856
1,1,1,0,0,0,1,0,2,1,52,11976.664285714285
1,1,1,0,0,0,1,0,2,6,53,9882.7925
1,1,1,0,0,0,0,1,2,2,51,9154.703928571429
1,1,1,0,0,1,0,0,1,2,53,10050.642500000002
1,1,1,0,0,0,0,1,1,0,51,11569.489285714286
1,1,1,0,0,0,1,0,3,5,51,9130.739642857143
1,1,1,0,0,0,1,0,2,3,55,10580.721428571429
1,1,0,1,0,1,0,0,3,1,50,9600.6725
1,1,0,1,1,0,0,0,4,5,50,7374.263214285714
1,1,0,1,0,1,0,0,2,1,50,9632.08392857143
1,1,1,0,1,0,0,0,4,1,52,12330.353571428572
1,1,1,0,0,1,0,0,0,2,53,10082.863571428572
1,1,0,1,0,1,0,0,3,5,53,10800.989285714288
1,1,1,0,0,0,0,1,0,6,50,6634.912499999998
1,1,1,0,1,0,0,0,4,1,50,8753.800714285715
1,1,1,0,0,0,0,1,4,6,53,7731.5153571428555
1,1,0,1,0,1,0,0,1,5,54,11265.485714285713
1,1,1,0,0,1,0,0,3,4,53,9883.890357142856
1,1,1,0,0,1,0,0,4,5,50,6610.518928571428
1,1,1,0,0,0,0,1,0,6,52,7435.688928571426
1,1,1,0,0,0,0,1,3,3,53,10056.926428571429
1,1,0,1,0,1,0,0,1,1,54,14143.63928571429
1,1,0,1,0,0,1,0,4,5,55,11726.953571428572
1,1,1,0,0,0,1,0,1,0,52,16783.885714285716
1,1,1,0,1,0,0,0,1,3,50,8795.108214285716
1,1,1,0,0,0,0,1,5,5,54,7640.625357142858
1,1,1,0,0,0,0,1,1,6,55,7958.739999999998
1,1,0,1,0,0,1,0,0,4,53,10802.364285714284
1,1,1,0,0,0,1,0,1,2,51,6867.651428571429
1,1,1,0,0,1,0,0,2,3,50,8872.176071428568
1,1,1,0,0,1,0,0,1,2,52,9805.199642857144
1,1,0,1,1,0,0,0,5,4,52,10486.157142857144
1,1,1,0,0,0,1,0,6,5,51,6837.88607142857
1,1,1,0,0,1,0,0,0,1,53,22299.70357142857
1,1,0,1,1,0,0,0,5,1,55,14562.467857142854
1,1,1,0,0,0,0,1,3,6,54,7818.4071428571415
1,1,1,0,0,0,1,0,1,3,54,10409.453571428574
1,1,0,1,0,0,1,0,2,4,55,11676.982142857145
1,1,0,1,0,0,0,1,1,5,54,11257.614285714284
1,1,0,1,0,0,1,0,1,0,55,23177.10714285714
1,1,1,0,1,0,0,0,0,2,52,12169.199999999999
1,1,0,1,0,0,0,1,0,2,50,9772.779285714283
1,1,0,1,0,1,0,0,0,2,53,10826.932142857142
1,1,0,1,1,0,0,0,0,1,50,24028.20357142857
1,1,1,0,0,0,0,1,5,5,51,6927.4289285714285
1,1,0,1,0,1,0,0,1,2,55,11633.653571428571
1,1,1,0,1,0,0,0,4,5,53,9905.072142857145
1,1,0,1,1,0,0,0,3,3,53,10826.496428571427
1,1,0,1,0,1,0,0,5,0,55,14520.971428571429
1,1,0,1,0,1,0,0,5,2,52,10590.050000000001
1,1,1,0,1,0,0,0,1,2,50,8919.204642857141
1,1,0,1,0,1,0,0,3,0,55,17558.585714285713
1,1,0,1,0,0,1,0,0,1,51,14992.378571428575
1,1,1,0,0,0,0,1,3,3,55,10639.210714285715
1,1,0,1,1,0,0,0,5,5,50,7214.219285714286
1,1,1,0,1,0,0,0,2,6,52,7308.233214285713
1,1,0,1,0,1,0,0,0,5,51,10108.161071428573
1,1,1,0,0,0,1,0,4,6,52,7429.706071428572
1,1,1,0,0,0,1,0,3,6,54,10194.514285714284
1,1,1,0,1,0,0,0,6,6,50,6831.62
1,1,1,0,0,0,0,1,3,3,52,9742.049285714284
1,1,1,0,0,0,0,1,3,4,54,10614.732142857145
1,1,1,0,1,0,0,0,0,1,54,30644.571428571428
1,1,0,1,1,0,0,0,4,2,54,11187.917857142855
1,1,0,1,0,1,0,0,1,2,51,10018.908214285717
1,1,1,0,0,0,0,1,1,1,50,11102.321428571431
1,1,0,1,0,0,0,1,5,3,51,7626.6332142857145
1,1,1,0,0,0,1,0,6,4,52,9796.393214285714
1,1,0,1,0,0,0,1,3,5,52,7818.220357142856
1,1,0,1,0,0,0,1,2,5,51,7605.792142857143
1,1,1,0,0,0,1,0,4,5,52,7286.390357142857
1,1,1,0,0,1,0,0,5,0,53,14824.09642857143
1,1,1,0,0,0,0,1,0,5,55,10566.86071428571
1,1,0,1,0,1,0,0,0,5,55,11634.092857142854
1,1,1,0,0,1,0,0,1,4,55,10625.592857142856
1,1,0,1,0,0,1,0,0,5,55,11631.503571428575
1,1,1,0,0,1,0,0,4,0,54,15478.739285714288
1,1,1,0,1,0,0,0,2,0,55,18612.925
1,1,0,1,0,0,0,1,4,3,52,10482.296428571426
1,1,1,0,1,0,0,0,5,6,52,7479.9975
1,1,0,1,0,0,0,1,2,6,52,7893.027857142857
1,1,1,0,1,0,0,0,6,3,55,10633.114285714288
1,1,0,1,1,0,0,0,4,1,50,12111.321428571426
1,1,1,0,0,1,0,0,0,2,52,9602.479285714286
1,1,1,0,1,0,0,0,0,2,51,11420.835714285715
1,1,1,0,0,0,0,1,5,1,51,9100.629285714285
1,1,1,0,0,0,0,1,5,1,52,9757.888571428572
1,1,1,0,0,1,0,0,4,4,53,10003.841428571428
1,1,1,0,0,0,1,0,0,4,51,6884.062142857144
1,1,1,0,0,0,1,0,5,0,50,6713.296071428571
1,1,0,1,0,0,1,0,4,0,50,7303.246428571428
1,1,0,1,0,0,0,1,6,1,54,11234.460714285717
1,1,1,0,0,1,0,0,1,6,52,7274.241785714286
1,1,1,0,0,0,0,1,6,3,54,7669.565714285714
1,1,0,1,0,0,0,1,4,6,53,8222.682857142854
1,1,0,1,1,0,0,0,3,4,50,9677.890357142858
1,1,1,0,1,0,0,0,3,2,54,10333.800000000001
1,1,0,1,0,0,1,0,5,2,51,7644.741071428571
1,1,0,1,1,0,0,0,3,1,53,13598.42857142857
1,1,1,0,1,0,0,0,0,3,53,10214.850714285714
1,1,1,0,1,0,0,0,2,3,54,10300.5
1,1,0,1,0,1,0,0,5,6,53,10829.107142857143
1,1,1,0,0,0,0,1,5,4,50,6669.8674999999985
1,1,0,1,0,0,0,1,0,4,55,11601.69285714286
