CGS,CGS_IP_CG,CGS_IP_AMG,CGS_RED_AMG,Smoother,Smoother_JAC,Smoother_GS,Smoother_GSAC,Smoother_GSACBE,Smoother_GSRB,Smoother_GSRBAC,pre,post,numCore,perf
1,1,0,0,1,1,0,0,0,0,0,0,1,64,101.754
1,1,0,0,1,0,1,0,0,0,0,0,1,64,101.789
1,1,0,0,1,0,0,1,0,0,0,0,1,64,106.315
1,1,0,0,1,0,0,0,1,0,0,0,1,64,430.014
1,1,0,0,1,0,0,0,0,1,0,0,1,64,118.088
1,1,0,0,1,0,0,0,0,0,1,0,1,64,122.949
1,0,1,0,1,1,0,0,0,0,0,0,1,64,103.588
1,0,1,0,1,0,1,0,0,0,0,0,1,64,102.543
1,0,1,0,1,0,0,1,0,0,0,0,1,64,106.113
1,0,1,0,1,0,0,0,1,0,0,0,1,64,416.52
1,0,1,0,1,0,0,0,0,1,0,0,1,64,119.877
1,0,1,0,1,0,0,0,0,0,1,0,1,64,123.342
1,0,0,1,1,1,0,0,0,0,0,0,1,64,118.913
1,0,0,1,1,0,1,0,0,0,0,0,1,64,116.237
1,0,0,1,1,0,0,1,0,0,0,0,1,64,120.012
1,0,0,1,1,0,0,0,1,0,0,0,1,64,430.928
1,0,0,1,1,0,0,0,0,1,0,0,1,64,133.761
1,0,0,1,1,0,0,0,0,0,1,0,1,64,137.249
1,1,0,0,1,1,0,0,0,0,0,0,2,64,126.927
1,1,0,0,1,0,1,0,0,0,0,0,2,64,126.892
1,1,0,0,1,0,0,1,0,0,0,0,2,64,134.618
1,1,0,0,1,0,0,0,1,0,0,0,2,64,777.809
1,1,0,0,1,0,0,0,0,1,0,0,2,64,160.207
1,1,0,0,1,0,0,0,0,0,1,0,2,64,168.738
1,0,1,0,1,1,0,0,0,0,0,0,2,64,127.051
1,0,1,0,1,0,1,0,0,0,0,0,2,64,125.633
1,0,1,0,1,0,0,1,0,0,0,0,2,64,132.852
1,0,1,0,1,0,0,0,1,0,0,0,2,64,752.307
1,0,1,0,1,0,0,0,0,1,0,0,2,64,160.052
1,0,1,0,1,0,0,0,0,0,1,0,2,64,166.997
1,0,0,1,1,1,0,0,0,0,0,0,2,64,142.309
1,0,0,1,1,0,1,0,0,0,0,0,2,64,139.344
1,0,0,1,1,0,0,1,0,0,0,0,2,64,146.709
