max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,960.0,0.1,1,0.5127709211318483,0.057113295572202634
5,2,gini,960.0,0.1,2,0.5525273868484767,0.07836175557075678
5,2,gini,960.0,0.1,3,0.7299343460125813,0.16371138313314
5,2,gini,960.0,0.1,4,0.7827338540690272,0.1230428354609856
5,2,gini,960.0,0.1,5,0.7528533557792592,0.15460118462485786
5,2,gini,960.0,0.1,6,0.7612503733464447,0.1341165353972833
5,2,gini,960.0,0.1,7,0.6981791737078261,0.14156731626688743
5,2,gini,960.0,0.1,8,0.7253352252209332,0.11327311580386956
5,2,gini,1020.0,0.1,1,0.6117696403415646,0.14069823122564817
5,2,gini,1020.0,0.1,2,0.5988698075142355,0.07336636723064821
5,2,gini,1020.0,0.1,3,0.8812316428103205,0.05433496998095638
5,2,gini,1020.0,0.1,4,0.8081770452168581,0.07285875291949696
5,2,gini,1020.0,0.1,5,0.7989870695933983,0.11763943786809553
5,2,gini,1020.0,0.1,6,0.7858638776707542,0.08659846144425773
5,2,gini,1020.0,0.1,7,0.7622619668616843,0.12113479561221417
5,2,gini,1020.0,0.1,8,0.8128320191325124,0.08219752163135793
5,2,gini,1215.0,0.1,1,0.7595838467535121,0.08927892275618964
5,2,gini,1215.0,0.1,2,0.8243365315939309,0.018808918993605775
5,2,gini,1215.0,0.1,3,0.8152890259952535,0.026610533580366743
5,2,gini,1215.0,0.1,4,0.80033805462872,0.05418630698458633
5,2,gini,1215.0,0.1,5,0.7917921749744152,0.06745784813602147
5,2,gini,1215.0,0.1,6,0.8155894061400051,0.06210123938243611
5,2,gini,1215.0,0.1,7,0.7851486861956015,0.07059551080373985
5,2,gini,1215.0,0.1,8,0.759215258888268,0.08580350324559922
5,2,gini,1974.0000000000005,0.1,1,0.5768630747575852,0.13660812485149368
5,2,gini,1974.0000000000005,0.1,2,0.8130434037671466,0.1854446256104822
5,2,gini,1974.0000000000005,0.1,3,0.7417066716705698,0.12951101105244098
5,2,gini,1974.0000000000005,0.1,4,0.6937785288943971,0.13938372496631685
5,2,gini,1974.0000000000005,0.1,5,0.8094676820618959,0.10851174074433355
5,2,gini,1974.0000000000005,0.1,6,0.7838747108137639,0.08855579691829477
5,2,gini,1974.0000000000005,0.1,7,0.7702951370563947,0.12553303721224668
5,2,gini,1974.0000000000005,0.1,8,0.7249804578643216,0.0895831759278754
5,2,gini,2160.0,0.1,1,0.5,0.0
5,2,gini,2160.0,0.1,2,0.5730563892789176,0.14991208411384335
5,2,gini,2160.0,0.1,3,0.595356061149148,0.1338139478523286
5,2,gini,2160.0,0.1,4,0.6871375235596111,0.15378322058261562
5,2,gini,2160.0,0.1,5,0.7288929811195498,0.12838597378536987
5,2,gini,2160.0,0.1,6,0.6868052591144144,0.14641858462403487
5,2,gini,2160.0,0.1,7,0.7055197704967727,0.06938860979683335
5,2,gini,2160.0,0.1,8,0.679285704410014,0.1191712749736152
5,2,gini,960.0,0.2,1,0.5,0.0
5,2,gini,960.0,0.2,2,0.5386585955467037,0.054399764907421065
5,2,gini,960.0,0.2,3,0.7835164015236613,0.13401983897716482
5,2,gini,960.0,0.2,4,0.8318491205280496,0.05602958636778309
5,2,gini,960.0,0.2,5,0.8489243731687175,0.06183332497126106
5,2,gini,960.0,0.2,6,0.8311220744748219,0.0848002700270756
5,2,gini,960.0,0.2,7,0.8316087724328535,0.06803008020677766
5,2,gini,960.0,0.2,8,0.8110002215317337,0.10150583514289935
5,2,gini,1020.0,0.2,1,0.6113011415166334,0.14000656020530677
5,2,gini,1020.0,0.2,2,0.636808518660716,0.10128473093401028
5,2,gini,1020.0,0.2,3,0.868236337894672,0.11223890510372654
5,2,gini,1020.0,0.2,4,0.8301144337081332,0.06327860998320134
5,2,gini,1020.0,0.2,5,0.8516111056087565,0.06481495727915368
5,2,gini,1020.0,0.2,6,0.835895452805679,0.07689041919478327
5,2,gini,1020.0,0.2,7,0.8341338361097641,0.055905626971219764
5,2,gini,1020.0,0.2,8,0.8294925863081064,0.047792551956776286
5,2,gini,1215.0,0.2,1,0.7905247480048386,0.018292312662177356
5,2,gini,1215.0,0.2,2,0.8082590763922239,0.04873030661998281
5,2,gini,1215.0,0.2,3,0.8227838951541248,0.02680883461988776
5,2,gini,1215.0,0.2,4,0.8235884104770893,0.03722881237715963
5,2,gini,1215.0,0.2,5,0.8600637879989932,0.02987433103542175
5,2,gini,1215.0,0.2,6,0.8544296439203283,0.04079319645113823
5,2,gini,1215.0,0.2,7,0.8497825853266807,0.036187323192032717
5,2,gini,1215.0,0.2,8,0.8137172344340244,0.038646763401304705
5,2,gini,1974.0000000000005,0.2,1,0.5155038759689923,0.06933544116278419
5,2,gini,1974.0000000000005,0.2,2,0.7288701963629373,0.21244613704782864
5,2,gini,1974.0000000000005,0.2,3,0.7834469766331751,0.13723954596285143
5,2,gini,1974.0000000000005,0.2,4,0.807337905929567,0.10168930419366054
5,2,gini,1974.0000000000005,0.2,5,0.8400272023201826,0.06776600299192169
5,2,gini,1974.0000000000005,0.2,6,0.8345678573261341,0.07839727675769695
5,2,gini,1974.0000000000005,0.2,7,0.8566525247323863,0.06314965725860038
5,2,gini,1974.0000000000005,0.2,8,0.8067150872917177,0.062079218173523576
5,2,gini,2160.0,0.2,1,0.5,0.0
5,2,gini,2160.0,0.2,2,0.5,0.0
5,2,gini,2160.0,0.2,3,0.5410714285714285,0.10045211972181473
5,2,gini,2160.0,0.2,4,0.6345783343047301,0.14461480122323772
5,2,gini,2160.0,0.2,5,0.7624985773969704,0.1029184200472799
5,2,gini,2160.0,0.2,6,0.7267004577882785,0.10160513105532726
5,2,gini,2160.0,0.2,7,0.7627340715601503,0.10170671344828427
5,2,gini,2160.0,0.2,8,0.7268086731057565,0.10207925452627323
5,2,gini,960.0,0.5,1,0.5,0.0
5,2,gini,960.0,0.5,2,0.5,0.0
5,2,gini,960.0,0.5,3,0.7546299540165623,0.11906175489583033
5,2,gini,960.0,0.5,4,0.8350794206267256,0.0775870098911278
5,2,gini,960.0,0.5,5,0.8276044894042108,0.06773615258032377
5,2,gini,960.0,0.5,6,0.8510216239760121,0.04374738401703562
5,2,gini,960.0,0.5,7,0.9001888724362128,0.05859878334337792
5,2,gini,960.0,0.5,8,0.8731252490520955,0.05076300125793224
5,2,gini,1020.0,0.5,1,0.5255942851824275,0.079004468789903
5,2,gini,1020.0,0.5,2,0.5440757258038003,0.0867190191441543
5,2,gini,1020.0,0.5,3,0.9041101128905259,0.02727126170087063
