max_depth,min_samples_split,criterion,threshold,training_size,mean,std
5,2,gini,3161.0,0.1,0.5314785729281478,0.045736435875009196
5,2,gini,3267.2,0.1,0.7431252710467826,0.07240702492712266
5,2,gini,5138.5,0.1,1.0,0.0
5,2,gini,5495.0,0.1,0.8129671437293601,0.21845475886654744
5,2,gini,14728.699999999999,0.1,0.7223447371390691,0.2039160753330733
5,2,gini,3161.0,0.2,0.626396910714478,0.12912082250532675
5,2,gini,3267.2,0.2,0.8546214097534641,0.07410501431070701
5,2,gini,5138.5,0.2,1.0,0.0
5,2,gini,5495.0,0.2,0.9155651759191945,0.03749359664682179
5,2,gini,14728.699999999999,0.2,0.6743020061334015,0.13262699582327617
5,2,gini,3161.0,0.5,0.6624436017705297,0.10121400462049807
5,2,gini,3267.2,0.5,0.8212908066549488,0.08037997605555772
5,2,gini,5138.5,0.5,1.0,0.0
5,2,gini,5495.0,0.5,0.9303272217978101,0.04724097435936082
5,2,gini,14728.699999999999,0.5,0.7910313940801745,0.06773163942260493
5,2,gini,3161.0,0.7,0.6135966993998909,0.15627404097537886
5,2,gini,3267.2,0.7,0.717279959992726,0.06702857417160756
5,2,gini,5138.5,0.7,1.0,0.0
5,2,gini,5495.0,0.7,0.953656858092074,0.05454179228528906
5,2,gini,14728.699999999999,0.7,0.9085800865800866,0.04644638756444247
5,2,entropy,3161.0,0.1,0.5340728532792427,0.03914994869044164
5,2,entropy,3267.2,0.1,0.8071494915356443,0.16202192448309366
5,2,entropy,5138.5,0.1,1.0,0.0
5,2,entropy,5495.0,0.1,0.9125423351158645,0.008050814706829603
5,2,entropy,14728.699999999999,0.1,0.6499774156364698,0.15887440271104394
5,2,entropy,3161.0,0.2,0.5855595856991818,0.05186939067012649
5,2,entropy,3267.2,0.2,0.7901037050103099,0.043685793397465374
5,2,entropy,5138.5,0.2,1.0,0.0
5,2,entropy,5495.0,0.2,0.8423105985857386,0.14220049185477676
5,2,entropy,14728.699999999999,0.2,0.843139534883721,0.07754400650491983
5,2,entropy,3161.0,0.5,0.6383111265679513,0.04842867425934644
5,2,entropy,3267.2,0.5,0.8881608808056176,0.03707395214386968
5,2,entropy,5138.5,0.5,1.0,0.0
5,2,entropy,5495.0,0.5,0.9247214546167474,0.040313342246451805
5,2,entropy,14728.699999999999,0.5,0.8799331096485569,0.0807561033148668
5,2,entropy,3161.0,0.7,0.6655426000187309,0.13224597958124418
5,2,entropy,3267.2,0.7,0.8077964030738471,0.053224639014394656
5,2,entropy,5138.5,0.7,1.0,0.0
5,2,entropy,5495.0,0.7,0.9473282814746229,0.07173239784016953
5,2,entropy,14728.699999999999,0.7,0.8293551165146911,0.08537708401222795
5,5,gini,3161.0,0.1,0.5420771707360318,0.08855409435787337
5,5,gini,3267.2,0.1,0.8037149157920471,0.1281973305861018
5,5,gini,5138.5,0.1,1.0,0.0
5,5,gini,5495.0,0.1,0.8684596951376882,0.09343116590108141
5,5,gini,14728.699999999999,0.1,0.6313706563706564,0.15900382003307512
5,5,gini,3161.0,0.2,0.5898577827715961,0.08859954920568172
5,5,gini,3267.2,0.2,0.7185995812185059,0.1289660671650416
5,5,gini,5138.5,0.2,1.0,0.0
5,5,gini,5495.0,0.2,0.8946903471341251,0.049595061122815136
5,5,gini,14728.699999999999,0.2,0.8069603182189725,0.1901826712701391
5,5,gini,3161.0,0.5,0.6149089129780186,0.14129560317628329
5,5,gini,3267.2,0.5,0.812546894159689,0.06519538031474456
5,5,gini,5138.5,0.5,1.0,0.0
5,5,gini,5495.0,0.5,0.9626183597310358,0.02715132052737594
5,5,gini,14728.699999999999,0.5,0.8572905378126261,0.08670730939304527
5,5,gini,3161.0,0.7,0.5850314616412603,0.13541910845688224
5,5,gini,3267.2,0.7,0.86731476028746,0.04704806344764069
