max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,3161.0,0.1,1,0.5,0.0
5,2,gini,3161.0,0.1,2,0.6646987401282353,0.1868414862277987
5,2,gini,3161.0,0.1,3,0.53625531412376,0.11159564606144452
5,2,gini,3161.0,0.1,4,0.6354674530416796,0.1264643054608566
5,2,gini,3161.0,0.1,5,0.647116202619366,0.10367024732904051
5,2,gini,3161.0,0.1,6,0.6113670956260557,0.08947005334541824
5,2,gini,3161.0,0.1,7,0.5869880399412166,0.08377325608688317
5,2,gini,3161.0,0.1,8,0.5739383048921033,0.06876606674634986
5,2,gini,3161.0,0.1,9,0.6276144317782397,0.08869549252511608
5,2,gini,3161.0,0.1,10,0.5951815024268761,0.10466707038622364
5,2,gini,3161.0,0.1,11,0.5887492814595527,0.09371607096630934
5,2,gini,3161.0,0.1,12,0.5848999427857378,0.09457929617000942
5,2,gini,3161.0,0.1,13,0.5512943393386327,0.07562675549995826
5,2,gini,3161.0,0.1,14,0.5708130078712322,0.08715407226479342
5,2,gini,3161.0,0.1,15,0.552701102228799,0.09481430361361964
5,2,gini,3161.0,0.1,16,0.5734053244388607,0.08925368171245171
5,2,gini,3161.0,0.1,17,0.5720558973668195,0.0963653697190873
5,2,gini,3161.0,0.1,18,0.5680430097365667,0.09053809594209111
5,2,gini,3161.0,0.1,19,0.5930296337784478,0.10550136690970663
5,2,gini,3161.0,0.1,20,0.5656331569984315,0.09734046902953401
5,2,gini,3161.0,0.1,21,0.5693436922478015,0.11617669799259438
5,2,gini,3161.0,0.1,22,0.5861969375333702,0.10982089070711629
5,2,gini,3161.0,0.1,23,0.5697771704729758,0.10078723052209092
5,2,gini,3161.0,0.1,24,0.5992383136729735,0.09202989135841332
5,2,gini,3161.0,0.1,25,0.5549009873432367,0.09000130656008323
5,2,gini,3267.2,0.1,1,0.5206766917293233,0.06365320131305717
5,2,gini,3267.2,0.1,2,0.8511773782008694,0.15143725033276714
5,2,gini,3267.2,0.1,3,0.8126857900212595,0.18525395242654302
5,2,gini,3267.2,0.1,4,0.8453255626624827,0.072627950104479
5,2,gini,3267.2,0.1,5,0.7938618536230718,0.11866114855620076
5,2,gini,3267.2,0.1,6,0.7459627672217286,0.13890136414602855
5,2,gini,3267.2,0.1,7,0.759244323432865,0.11072675633978779
5,2,gini,3267.2,0.1,8,0.7227919963260423,0.08848933706928623
5,2,gini,3267.2,0.1,9,0.7492699628202453,0.11567312048593853
5,2,gini,3267.2,0.1,10,0.7245877216851032,0.10953498614359232
5,2,gini,3267.2,0.1,11,0.6885135232918749,0.10723819478660654
5,2,gini,3267.2,0.1,12,0.7313373201711241,0.1272517231845219
5,2,gini,3267.2,0.1,13,0.6727782966411793,0.13619420721842304
5,2,gini,3267.2,0.1,14,0.7839871045164319,0.118331258735288
5,2,gini,3267.2,0.1,15,0.7029495675897109,0.11904766196777648
5,2,gini,3267.2,0.1,16,0.6966591324936419,0.10466822836114023
5,2,gini,3267.2,0.1,17,0.7355246898314166,0.10174760871104664
5,2,gini,3267.2,0.1,18,0.7086341797709381,0.10817447510732633
5,2,gini,3267.2,0.1,19,0.6836665491096771,0.12226816464651849
5,2,gini,3267.2,0.1,20,0.7396322634618719,0.11311339629261458
5,2,gini,3267.2,0.1,21,0.7306016594714979,0.12292184172920302
5,2,gini,3267.2,0.1,22,0.6613015135155482,0.11673889484870983
5,2,gini,3267.2,0.1,23,0.7280315979358576,0.13627601505820033
5,2,gini,3267.2,0.1,24,0.7365677743086615,0.11709171495079974
5,2,gini,3267.2,0.1,25,0.7347420601021022,0.12712895165363897
5,2,gini,5138.5,0.1,1,0.4939298215898826,0.007801128354146271
5,2,gini,5138.5,0.1,2,1.0,0.0
5,2,gini,5138.5,0.1,3,1.0,0.0
5,2,gini,5138.5,0.1,4,1.0,0.0
5,2,gini,5138.5,0.1,5,1.0,0.0
5,2,gini,5138.5,0.1,6,1.0,0.0
5,2,gini,5138.5,0.1,7,1.0,0.0
5,2,gini,5138.5,0.1,8,1.0,0.0
5,2,gini,5138.5,0.1,9,1.0,0.0
5,2,gini,5138.5,0.1,10,1.0,0.0
5,2,gini,5138.5,0.1,11,1.0,0.0
5,2,gini,5138.5,0.1,12,1.0,0.0
5,2,gini,5138.5,0.1,13,1.0,0.0
5,2,gini,5138.5,0.1,14,1.0,0.0
5,2,gini,5138.5,0.1,15,1.0,0.0
5,2,gini,5138.5,0.1,16,1.0,0.0
5,2,gini,5138.5,0.1,17,1.0,0.0
5,2,gini,5138.5,0.1,18,1.0,0.0
5,2,gini,5138.5,0.1,19,1.0,0.0
5,2,gini,5138.5,0.1,20,1.0,0.0
5,2,gini,5138.5,0.1,21,1.0,0.0
5,2,gini,5138.5,0.1,22,1.0,0.0
5,2,gini,5138.5,0.1,23,1.0,0.0
5,2,gini,5138.5,0.1,24,1.0,0.0
5,2,gini,5138.5,0.1,25,1.0,0.0
5,2,gini,5495.0,0.1,1,0.6081908498148857,0.15136744492444384
5,2,gini,5495.0,0.1,2,0.9047585927612166,0.027335657947942876
5,2,gini,5495.0,0.1,3,0.9142294927565018,0.009063534405796915
5,2,gini,5495.0,0.1,4,0.8453706320202412,0.15176942430464968
5,2,gini,5495.0,0.1,5,0.8800297479836736,0.101708190226632
