mean,std,max_depth,min_samples_split,criterion,threshold,training_size
0.6578665424601584,0.07611973693665376,5,2,mse,3161.0,0.1
0.7939651780730711,0.0725403890254063,5,2,mse,3267.2,0.1
1.0,0.0,5,2,mse,5138.5,0.1
0.8515529107361959,0.14450491779102492,5,2,mse,5495.0,0.1
0.7668075751250595,0.2026088097156032,5,2,mse,14728.699999999999,0.1
0.6275544731174233,0.087959370178641,5,2,mse,3161.0,0.2
0.7791240077837649,0.07408072357937805,5,2,mse,3267.2,0.2
1.0,0.0,5,2,mse,5138.5,0.2
0.9309732154590675,0.03198653590254388,5,2,mse,5495.0,0.2
0.8502288843889154,0.10575683585026731,5,2,mse,14728.699999999999,0.2
0.6090493827691057,0.10105372485934055,5,2,mse,3161.0,0.5
0.7979163858737134,0.07316509363459002,5,2,mse,3267.2,0.5
1.0,0.0,5,2,mse,5138.5,0.5
0.9475079102221351,0.03138787222429833,5,2,mse,5495.0,0.5
0.8562406404044374,0.08897375111894236,5,2,mse,14728.699999999999,0.5
0.5974263595324553,0.08539729413619979,5,2,mse,3161.0,0.7
0.8406083036831203,0.06314752596787801,5,2,mse,3267.2,0.7
1.0,0.0,5,2,mse,5138.5,0.7
0.9465844470409547,0.04186754138814062,5,2,mse,5495.0,0.7
0.8854982435281805,0.06527564578924784,5,2,mse,14728.699999999999,0.7
0.6230973947798297,0.10496265330552612,5,2,friedman_mse,3161.0,0.1
0.74957644656329,0.1153274219860204,5,2,friedman_mse,3267.2,0.1
0.9910714285714285,0.03992978531249625,5,2,friedman_mse,5138.5,0.1
0.901908365518729,0.040268352155848494,5,2,friedman_mse,5495.0,0.1
0.7931150141087726,0.1193956153484544,5,2,friedman_mse,14728.699999999999,0.1
0.638799291034098,0.10735909232060818,5,2,friedman_mse,3161.0,0.2
0.8105282588535605,0.06053645739866498,5,2,friedman_mse,3267.2,0.2
1.0,0.0,5,2,friedman_mse,5138.5,0.2
0.9340367667352576,0.0315709715139892,5,2,friedman_mse,5495.0,0.2
0.8848311123011398,0.08622679108754507,5,2,friedman_mse,14728.699999999999,0.2
0.6180233895484889,0.11664962027533174,5,2,friedman_mse,3161.0,0.5
0.7944910294324773,0.06230471032966466,5,2,friedman_mse,3267.2,0.5
1.0,0.0,5,2,friedman_mse,5138.5,0.5
0.9356404574044257,0.04504798897522862,5,2,friedman_mse,5495.0,0.5
0.9017610037392151,0.05541921107309806,5,2,friedman_mse,14728.699999999999,0.5
0.6003538907426769,0.10648510226880645,5,2,friedman_mse,3161.0,0.7
0.820022907562348,0.07389858067120424,5,2,friedman_mse,3267.2,0.7
1.0,0.0,5,2,friedman_mse,5138.5,0.7
0.9542036434605917,0.03314326667601699,5,2,friedman_mse,5495.0,0.7
0.9176318040218451,0.0669335106735842,5,2,friedman_mse,14728.699999999999,0.7
0.581568440259902,0.11484549916117691,5,5,mse,3161.0,0.1
0.7793812678547398,0.13220765109439664,5,5,mse,3267.2,0.1
0.9637265014991108,0.07444619248722271,5,5,mse,5138.5,0.1
0.8796162952141572,0.08314844333840493,5,5,mse,5495.0,0.1
0.8261193462367494,0.18849520749920812,5,5,mse,14728.699999999999,0.1
0.6078991210423417,0.10133295648604568,5,5,mse,3161.0,0.2
0.7843409627870952,0.0950396073545313,5,5,mse,3267.2,0.2
1.0,0.0,5,5,mse,5138.5,0.2
0.9190906414250042,0.027652088838140916,5,5,mse,5495.0,0.2
0.835918267404313,0.142771099377981,5,5,mse,14728.699999999999,0.2
0.6305325324349377,0.09585730005198814,5,5,mse,3161.0,0.5
0.8191164742454659,0.05991711875393908,5,5,mse,3267.2,0.5
1.0,0.0,5,5,mse,5138.5,0.5
0.9441230007613205,0.030319625342920393,5,5,mse,5495.0,0.5
0.8714060150465108,0.07916763342597966,5,5,mse,14728.699999999999,0.5
0.5724203332161941,0.09256350648345062,5,5,mse,3161.0,0.7
0.8031728499756611,0.06496938796576346,5,5,mse,3267.2,0.7
1.0,0.0,5,5,mse,5138.5,0.7
0.9395653646048592,0.04398122676138699,5,5,mse,5495.0,0.7
0.8872616345815725,0.12223615520604013,5,5,mse,14728.699999999999,0.7
0.5344743439416391,0.09756268016107177,5,5,friedman_mse,3161.0,0.1
0.7577557869744551,0.1405641335686471,5,5,friedman_mse,3267.2,0.1
0.9546452939487594,0.08085759373080385,5,5,friedman_mse,5138.5,0.1
0.861275370201372,0.10094345673703957,5,5,friedman_mse,5495.0,0.1
0.8267634022068784,0.19984619930798203,5,5,friedman_mse,14728.699999999999,0.1
0.6478815733586466,0.0947457953822979,5,5,friedman_mse,3161.0,0.2
0.7970568425397192,0.09003618586012208,5,5,friedman_mse,3267.2,0.2
1.0,0.0,5,5,friedman_mse,5138.5,0.2
0.924185272734779,0.030283724982438105,5,5,friedman_mse,5495.0,0.2
0.8461996585775404,0.13070142056014827,5,5,friedman_mse,14728.699999999999,0.2
0.6299811818391402,0.10002370575211411,5,5,friedman_mse,3161.0,0.5
0.7957118813390389,0.06279240090533006,5,5,friedman_mse,3267.2,0.5
1.0,0.0,5,5,friedman_mse,5138.5,0.5
0.9234770860129504,0.03526354669186986,5,5,friedman_mse,5495.0,0.5
0.8956810997068205,0.07866992862060716,5,5,friedman_mse,14728.699999999999,0.5
0.6154256107086509,0.13119767058853143,5,5,friedman_mse,3161.0,0.7
0.8278983517490396,0.08072899591190241,5,5,friedman_mse,3267.2,0.7
1.0,0.0,5,5,friedman_mse,5138.5,0.7
0.9446544276800637,0.05719512840301743,5,5,friedman_mse,5495.0,0.7
0.8910490048856424,0.07302229540567708,5,5,friedman_mse,14728.699999999999,0.7
0.5186643835616438,0.08346966080393052,5,10,mse,3161.0,0.1
0.7691994066060464,0.20270065094346632,5,10,mse,3267.2,0.1
0.8546187964306474,0.1178287482943427,5,10,mse,5138.5,0.1
0.8029924132057598,0.008649301834993062,5,10,mse,5495.0,0.1
0.5178082191780822,0.07964077728081442,5,10,mse,14728.699999999999,0.1
0.5331674152816985,0.06842412472921922,5,10,mse,3161.0,0.2
0.7765990682716686,0.14501796555258717,5,10,mse,3267.2,0.2
0.9821114493488924,0.05509472810374413,5,10,mse,5138.5,0.2
0.908032219768932,0.03838721064596991,5,10,mse,5495.0,0.2
0.9168066969086407,0.1426177065507236,5,10,mse,14728.699999999999,0.2
0.6323429400283282,0.10001060226881445,5,10,mse,3161.0,0.5
0.8031176121095374,0.05951624980556981,5,10,mse,3267.2,0.5
1.0,0.0,5,10,mse,5138.5,0.5
0.926025244003017,0.03880609523303176,5,10,mse,5495.0,0.5
0.8495171128374063,0.08832625264361472,5,10,mse,14728.699999999999,0.5
0.576590935026137,0.07811375780694851,5,10,mse,3161.0,0.7
0.8019855818235531,0.08323137936182089,5,10,mse,3267.2,0.7
1.0,0.0,5,10,mse,5138.5,0.7
0.9429814350302486,0.0509015335444815,5,10,mse,5495.0,0.7
0.9204500050020007,0.07683383521989143,5,10,mse,14728.699999999999,0.7
0.5248872300598092,0.08547648220067536,5,10,friedman_mse,3161.0,0.1
0.7142781734008824,0.20309691075928854,5,10,friedman_mse,3267.2,0.1
0.932120994739359,0.08532465997265999,5,10,friedman_mse,5138.5,0.1
0.7914785401659787,0.07243407158914288,5,10,friedman_mse,5495.0,0.1
0.5232993197278912,0.10419772548213306,5,10,friedman_mse,14728.699999999999,0.1
