max_depth,min_samples_split,criterion,threshold,training_size,mean,std
5,2,gini,7395.555571428571,0.1,0.7563994360141226,0.06447481608305687
5,2,gini,8465.152999999998,0.1,0.7834785053034466,0.02769735606335522
5,2,gini,10259.905357142854,0.1,0.8696030580513497,0.017280162404969938
5,2,gini,11656.234285714285,0.1,0.826337839080517,0.03070796998921853
5,2,gini,13508.177857142859,0.1,0.8319433532097383,0.04363767503634201
5,2,gini,7395.555571428571,0.2,0.7865055222326491,0.04431002134092594
5,2,gini,8465.152999999998,0.2,0.7904595218982271,0.014409766779707575
5,2,gini,10259.905357142854,0.2,0.8816359018254308,0.011092346190324858
5,2,gini,11656.234285714285,0.2,0.8508135019892841,0.014172049724008349
5,2,gini,13508.177857142859,0.2,0.866391703516825,0.014990027971940672
5,2,gini,7395.555571428571,0.5,0.7981353205939896,0.03436382521435823
5,2,gini,8465.152999999998,0.5,0.8334593228647943,0.02711784840930455
5,2,gini,10259.905357142854,0.5,0.900750422341083,0.0078772746263599
5,2,gini,11656.234285714285,0.5,0.8812026857737812,0.012146235796751807
5,2,gini,13508.177857142859,0.5,0.8307356354652959,0.018609648889104286
5,2,gini,7395.555571428571,0.8,0.8079110369828552,0.06340496767173322
5,2,gini,8465.152999999998,0.8,0.8119283606091674,0.04485922743610898
5,2,gini,10259.905357142854,0.8,0.9066884830394286,0.012589957173273745
5,2,gini,11656.234285714285,0.8,0.8873956041708672,0.02932667584316418
5,2,gini,13508.177857142859,0.8,0.8624906900970994,0.05012367700047782
5,2,gini,7395.555571428571,0.9,0.8198393293908648,0.02845711161671942
5,2,gini,8465.152999999998,0.9,0.8402052336850521,0.018889345546367585
5,2,gini,10259.905357142854,0.9,0.9220434489032009,0.009618162305308736
5,2,gini,11656.234285714285,0.9,0.8955321480012521,0.0409477769223824
5,2,gini,13508.177857142859,0.9,0.8794332539976256,0.01880527314029372
5,2,entropy,7395.555571428571,0.1,0.7651945224851697,0.026462934523326372
5,2,entropy,8465.152999999998,0.1,0.8033681496588814,0.014341231097168892
5,2,entropy,10259.905357142854,0.1,0.8597754882503816,0.016989986761551158
5,2,entropy,11656.234285714285,0.1,0.8303196636143152,0.0363226141800272
5,2,entropy,13508.177857142859,0.1,0.7802442255456039,0.052105371905060476
5,2,entropy,7395.555571428571,0.2,0.7937746495419737,0.03977704136011483
5,2,entropy,8465.152999999998,0.2,0.8024722448615143,0.03510745887081989
5,2,entropy,10259.905357142854,0.2,0.8756201299546043,0.010818129022995674
5,2,entropy,11656.234285714285,0.2,0.8466550570365461,0.032129080689240766
5,2,entropy,13508.177857142859,0.2,0.8600638328983641,0.05171604182826598
5,2,entropy,7395.555571428571,0.5,0.7684378217542791,0.04249276337755177
5,2,entropy,8465.152999999998,0.5,0.811147435906469,0.033236063246354614
5,2,entropy,10259.905357142854,0.5,0.8918385373089324,0.010445084303768164
5,2,entropy,11656.234285714285,0.5,0.8781166922747854,0.02092123466175223
5,2,entropy,13508.177857142859,0.5,0.8602479612819696,0.049605455696295736
5,2,entropy,7395.555571428571,0.8,0.7597379546794438,0.0404409434361946
5,2,entropy,8465.152999999998,0.8,0.8406812881191472,0.029165859839852454
5,2,entropy,10259.905357142854,0.8,0.8997322880963079,0.010437459512478675
5,2,entropy,11656.234285714285,0.8,0.8754677082998988,0.007451833800493141
5,2,entropy,13508.177857142859,0.8,0.9073239021097841,0.03716225404376094
5,2,entropy,7395.555571428571,0.9,0.7616624038786994,0.04332380214336632
5,2,entropy,8465.152999999998,0.9,0.8231821751587793,0.020010439944023857
5,2,entropy,10259.905357142854,0.9,0.8986936133225433,0.020081481106762576
5,2,entropy,11656.234285714285,0.9,0.9011282401776901,0.01360872714426991
5,2,entropy,13508.177857142859,0.9,0.8455206253563945,0.06407192440113758
5,5,gini,7395.555571428571,0.1,0.7356921657112678,0.04829386318352497
5,5,gini,8465.152999999998,0.1,0.7831607151661868,0.030514890644279348
5,5,gini,10259.905357142854,0.1,0.8796985125787907,0.01997231149299861
5,5,gini,11656.234285714285,0.1,0.8351868997907743,0.02066352720153187
5,5,gini,13508.177857142859,0.1,0.8677262916960371,0.04841486370034853
5,5,gini,7395.555571428571,0.2,0.7365282248813086,0.03664045742375128
5,5,gini,8465.152999999998,0.2,0.829492924590818,0.027665569740387096
5,5,gini,10259.905357142854,0.2,0.8907845701003559,0.010968774472100835
5,5,gini,11656.234285714285,0.2,0.850656902414759,0.04817539360650098
5,5,gini,13508.177857142859,0.2,0.8464852935143033,0.030542153213460432
5,5,gini,7395.555571428571,0.5,0.7929774239824685,0.0415670757246874
5,5,gini,8465.152999999998,0.5,0.8376379166007538,0.015859147834692514
5,5,gini,10259.905357142854,0.5,0.9045694262934738,0.011911894959693026
5,5,gini,11656.234285714285,0.5,0.8852218500871857,0.016488647534162394
5,5,gini,13508.177857142859,0.5,0.8905776843658743,0.06566497570441666
5,5,gini,7395.555571428571,0.8,0.7984113263562432,0.021097560632250774
5,5,gini,8465.152999999998,0.8,0.8413236883073623,0.01753496265931853
5,5,gini,10259.905357142854,0.8,0.9122556837572663,0.008412870643382043
5,5,gini,11656.234285714285,0.8,0.8710475266018042,0.009098582480825672
5,5,gini,13508.177857142859,0.8,0.8518959795228962,0.03921770301465904
5,5,gini,7395.555571428571,0.9,0.7793264162908642,0.05399852876637357
5,5,gini,8465.152999999998,0.9,0.8222314707590567,0.07283927844692935
5,5,gini,10259.905357142854,0.9,0.9124623735831985,0.010896161197338617
5,5,gini,11656.234285714285,0.9,0.871970731896695,0.02627627433605375
5,5,gini,13508.177857142859,0.9,0.8783895491616114,0.016976924503150623
5,5,entropy,7395.555571428571,0.1,0.7662432875744727,0.07843936726715561
5,5,entropy,8465.152999999998,0.1,0.7725577989010611,0.05997325176012721
5,5,entropy,10259.905357142854,0.1,0.866535530105059,0.029054867580315478
