max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,7395.555571428571,0.1,1,0.5,0.0
5,2,gini,7395.555571428571,0.1,2,0.5267957581156951,0.023143705720371974
5,2,gini,7395.555571428571,0.1,3,0.5301577787813542,0.025541517207689945
5,2,gini,7395.555571428571,0.1,4,0.6998879381189432,0.0547316745220077
5,2,gini,7395.555571428571,0.1,5,0.7207960556624723,0.037147499049737666
5,2,gini,7395.555571428571,0.1,6,0.7329340928512412,0.052254744833786115
5,2,gini,7395.555571428571,0.1,7,0.755218525525392,0.04791067923373764
5,2,gini,7395.555571428571,0.1,8,0.7730692486552039,0.04718014483203403
5,2,gini,7395.555571428571,0.1,9,0.7500701287298905,0.0522550081068502
5,2,gini,7395.555571428571,0.1,10,0.7752484881713052,0.05477488322367954
5,2,gini,8465.152999999998,0.1,1,0.6102071876872512,0.0737953174055853
5,2,gini,8465.152999999998,0.1,2,0.6283689944554247,0.046703215749531186
5,2,gini,8465.152999999998,0.1,3,0.6571872850026453,0.03400429628317621
5,2,gini,8465.152999999998,0.1,4,0.720035947348707,0.025838005715097895
5,2,gini,8465.152999999998,0.1,5,0.750060286497902,0.04383721877252334
5,2,gini,8465.152999999998,0.1,6,0.8076730399729335,0.03192433347458203
5,2,gini,8465.152999999998,0.1,7,0.7859522047355801,0.03330987860739893
5,2,gini,8465.152999999998,0.1,8,0.8005613831041039,0.03653117408749748
5,2,gini,8465.152999999998,0.1,9,0.805333929578865,0.026339884937830713
5,2,gini,8465.152999999998,0.1,10,0.777757428488772,0.03441646321854493
5,2,gini,10259.905357142854,0.1,1,0.644003873663116,0.011145275205100022
5,2,gini,10259.905357142854,0.1,2,0.6092650744133159,0.021243166288543842
5,2,gini,10259.905357142854,0.1,3,0.6136328283247094,0.01389734083922647
5,2,gini,10259.905357142854,0.1,4,0.7857943617671591,0.02072765888394956
5,2,gini,10259.905357142854,0.1,5,0.7855917920919943,0.019967849189553733
5,2,gini,10259.905357142854,0.1,6,0.8052405321027857,0.015121318259783412
5,2,gini,10259.905357142854,0.1,7,0.8712514297933873,0.018084085035734075
5,2,gini,10259.905357142854,0.1,8,0.8657314612182706,0.02382083481076641
5,2,gini,10259.905357142854,0.1,9,0.8642384427812884,0.016917872574206315
5,2,gini,10259.905357142854,0.1,10,0.8600625447753165,0.016463087903783508
5,2,gini,11656.234285714285,0.1,1,0.7803099686231627,0.05681962572512094
5,2,gini,11656.234285714285,0.1,2,0.7773466737297892,0.032638492349238844
5,2,gini,11656.234285714285,0.1,3,0.8200077990790288,0.03700669686613373
5,2,gini,11656.234285714285,0.1,4,0.8097417241252642,0.021301115329856842
5,2,gini,11656.234285714285,0.1,5,0.8208250511214953,0.03774816146137025
5,2,gini,11656.234285714285,0.1,6,0.8152548768340365,0.03315071157937103
5,2,gini,11656.234285714285,0.1,7,0.8423892139199145,0.0337873876210421
5,2,gini,11656.234285714285,0.1,8,0.8433113342728834,0.04089940638798619
5,2,gini,11656.234285714285,0.1,9,0.8275802271411822,0.03422497410959799
5,2,gini,11656.234285714285,0.1,10,0.8361132558869961,0.031242441044900354
5,2,gini,13508.177857142859,0.1,1,0.6411086419802339,0.14485917448415353
5,2,gini,13508.177857142859,0.1,2,0.7169656354351917,0.044632867805934125
5,2,gini,13508.177857142859,0.1,3,0.7749030734085176,0.03334151155840253
5,2,gini,13508.177857142859,0.1,4,0.7967291357907647,0.05950447227826066
5,2,gini,13508.177857142859,0.1,5,0.7918331700185577,0.04621693845718571
5,2,gini,13508.177857142859,0.1,6,0.8205528614725968,0.05073102776085041
5,2,gini,13508.177857142859,0.1,7,0.8310006145345638,0.06761741234573909
5,2,gini,13508.177857142859,0.1,8,0.8270107148625161,0.058833716873078395
5,2,gini,13508.177857142859,0.1,9,0.8289098179500541,0.05527541644463175
5,2,gini,13508.177857142859,0.1,10,0.8147955462549131,0.05956561777020287
5,2,gini,7395.555571428571,0.2,1,0.5,0.0
5,2,gini,7395.555571428571,0.2,2,0.5097784207457507,0.010644905049897947
5,2,gini,7395.555571428571,0.2,3,0.510741825611108,0.008887708872692643
5,2,gini,7395.555571428571,0.2,4,0.6820557001075751,0.045591987869529345
5,2,gini,7395.555571428571,0.2,5,0.739789007294124,0.0240129008778483
5,2,gini,7395.555571428571,0.2,6,0.7283120546584033,0.03222565707202893
5,2,gini,7395.555571428571,0.2,7,0.7684740737086808,0.05815301490024902
5,2,gini,7395.555571428571,0.2,8,0.7790955154089098,0.05376227303604663
5,2,gini,7395.555571428571,0.2,9,0.8031164204701569,0.04128279394142222
5,2,gini,7395.555571428571,0.2,10,0.7825213415931773,0.04030614705602052
5,2,gini,8465.152999999998,0.2,1,0.6031329760110693,0.06949300817601214
5,2,gini,8465.152999999998,0.2,2,0.6279506269590767,0.04084070179708793
5,2,gini,8465.152999999998,0.2,3,0.646731243415765,0.030279711593290747
5,2,gini,8465.152999999998,0.2,4,0.7355982293983011,0.02622918602456842
5,2,gini,8465.152999999998,0.2,5,0.7800234325877946,0.02414769048700307
5,2,gini,8465.152999999998,0.2,6,0.822957358670909,0.017961164401049
5,2,gini,8465.152999999998,0.2,7,0.8173089178598015,0.028951798038702386
5,2,gini,8465.152999999998,0.2,8,0.8214585507032963,0.025045676749294792
5,2,gini,8465.152999999998,0.2,9,0.8280430262984823,0.025351573776854364
5,2,gini,8465.152999999998,0.2,10,0.8192289204529344,0.025918669921028172
5,2,gini,10259.905357142854,0.2,1,0.6451143986834739,0.00874766084984031
5,2,gini,10259.905357142854,0.2,2,0.6304977724907006,0.0136772454796359
5,2,gini,10259.905357142854,0.2,3,0.6248576837490714,0.01268628269733022
5,2,gini,10259.905357142854,0.2,4,0.7920178050910637,0.012568776435509596
5,2,gini,10259.905357142854,0.2,5,0.7976898749888377,0.012484183143221176
5,2,gini,10259.905357142854,0.2,6,0.8176886913735965,0.012335795355007171
5,2,gini,10259.905357142854,0.2,7,0.8908457309462378,0.01396146848491505
5,2,gini,10259.905357142854,0.2,8,0.8833532814863595,0.012549106139153013
5,2,gini,10259.905357142854,0.2,9,0.8917984307674651,0.011421108195553207
5,2,gini,10259.905357142854,0.2,10,0.885381816281642,0.015766327504452827
5,2,gini,11656.234285714285,0.2,1,0.7659591235405062,0.05310989310975273
5,2,gini,11656.234285714285,0.2,2,0.8166613830673141,0.02440031061672429
5,2,gini,11656.234285714285,0.2,3,0.8350275646298991,0.022564080863554558
5,2,gini,11656.234285714285,0.2,4,0.8370270341164536,0.01952017702091929
5,2,gini,11656.234285714285,0.2,5,0.8350984466319268,0.02007872800439959
5,2,gini,11656.234285714285,0.2,6,0.8397474387119193,0.018543839092813638
5,2,gini,11656.234285714285,0.2,7,0.843630490459808,0.02574529058351007
5,2,gini,11656.234285714285,0.2,8,0.8580254400806989,0.02540206160534203
5,2,gini,11656.234285714285,0.2,9,0.851375031896396,0.027974791925542555
5,2,gini,11656.234285714285,0.2,10,0.8556871401893634,0.020788525892515352
5,2,gini,13508.177857142859,0.2,1,0.6540253559892362,0.14301070225005896
5,2,gini,13508.177857142859,0.2,2,0.7394807233503792,0.045822095172526674
5,2,gini,13508.177857142859,0.2,3,0.7899877288361988,0.021782107582168135
5,2,gini,13508.177857142859,0.2,4,0.8225781822603938,0.052138441053520876
5,2,gini,13508.177857142859,0.2,5,0.8141593796680844,0.041855349014898006
5,2,gini,13508.177857142859,0.2,6,0.8187274211042592,0.04910281181778602
5,2,gini,13508.177857142859,0.2,7,0.8544407394455609,0.053064393824875426
5,2,gini,13508.177857142859,0.2,8,0.8443822208457077,0.04569386870333409
5,2,gini,13508.177857142859,0.2,9,0.8573927120049409,0.03800503121351049
5,2,gini,13508.177857142859,0.2,10,0.8670634502589211,0.043786006716218996
5,2,gini,7395.555571428571,0.5,1,0.5,0.0
5,2,gini,7395.555571428571,0.5,2,0.5,0.0
5,2,gini,7395.555571428571,0.5,3,0.5004197139074695,0.0023510793302923202
5,2,gini,7395.555571428571,0.5,4,0.6839321665285751,0.03306768976752305
5,2,gini,7395.555571428571,0.5,5,0.7020445681448818,0.021545816411546567
5,2,gini,7395.555571428571,0.5,6,0.7185109791688055,0.023236640987850856
5,2,gini,7395.555571428571,0.5,7,0.7959930161104035,0.03695428043427824
5,2,gini,7395.555571428571,0.5,8,0.7947455735205516,0.038650130364418826
5,2,gini,7395.555571428571,0.5,9,0.7979980376091833,0.03866918135016066
5,2,gini,7395.555571428571,0.5,10,0.7962288182698584,0.03587849719780438
5,2,gini,8465.152999999998,0.5,1,0.6209840131770974,0.0528923387015257
5,2,gini,8465.152999999998,0.5,2,0.6353219525437221,0.031105295437177438
5,2,gini,8465.152999999998,0.5,3,0.6301816885065011,0.03803873299322979
5,2,gini,8465.152999999998,0.5,4,0.7454175226391134,0.01856980392794832
5,2,gini,8465.152999999998,0.5,5,0.7885563531515623,0.02905381498923261
5,2,gini,8465.152999999998,0.5,6,0.8206868215484006,0.028868684026432657
5,2,gini,8465.152999999998,0.5,7,0.8371724872661013,0.02186868981673182
5,2,gini,8465.152999999998,0.5,8,0.8333979340955331,0.025996203990960472
5,2,gini,8465.152999999998,0.5,9,0.826918396561869,0.027181191237876056
5,2,gini,8465.152999999998,0.5,10,0.8263899578337963,0.021471377836641728
5,2,gini,10259.905357142854,0.5,1,0.6517276070846141,0.006501334063613518
5,2,gini,10259.905357142854,0.5,2,0.6351789643404524,0.013352907345908768
