max_depth,min_samples_split,criterion,threshold,training_size,mean,std
5,2,gini,22.464,0.1,0.7110888044164418,0.019592010680569323
5,2,gini,23.3968,0.1,0.6811365683983011,0.11710548120789793
5,2,gini,30.396,0.1,0.8890030755677483,0.009572800501355725
5,2,gini,45.1672,0.1,0.7603784781889589,0.08617139124204871
5,2,gini,58.1726,0.1,0.6906436174174988,0.017234305467717464
5,2,gini,22.464,0.2,0.7368056502049047,0.021788427339798782
5,2,gini,23.3968,0.2,0.6438854684384687,0.0012924230933401457
5,2,gini,30.396,0.2,0.8994481481465947,0.006375266136052668
5,2,gini,45.1672,0.2,0.7135846234282074,0.06415135865259382
5,2,gini,58.1726,0.2,0.6989010539289163,0.004776174602079954
5,2,gini,22.464,0.5,0.7289707416613801,0.005604476150442704
5,2,gini,23.3968,0.5,0.6448038631590799,0.0031957060504228868
5,2,gini,30.396,0.5,0.9024555623065954,0.004481903294076296
5,2,gini,45.1672,0.5,0.7704174790379189,0.01775618891972679
5,2,gini,58.1726,0.5,0.6928900044191879,0.008843662764374241
5,2,gini,22.464,0.7,0.7436162758096228,0.008010816785565034
5,2,gini,23.3968,0.7,0.6482073248803326,0.005761142422407049
5,2,gini,30.396,0.7,0.903944709444783,0.004874178793246652
5,2,gini,45.1672,0.7,0.7404012711074335,0.08596844621488058
5,2,gini,58.1726,0.7,0.6986618973051486,0.007408081528643374
5,2,entropy,22.464,0.1,0.7192742241632033,0.018142600864133124
5,2,entropy,23.3968,0.1,0.7304252649266002,0.1450598915466182
5,2,entropy,30.396,0.1,0.8943614481399532,0.005604124318408232
5,2,entropy,45.1672,0.1,0.7834270808816001,0.1276693187944641
5,2,entropy,58.1726,0.1,0.6873962332537689,0.026690580771387397
5,2,entropy,22.464,0.2,0.7110367222315217,0.02410226796162612
5,2,entropy,23.3968,0.2,0.7255999973912757,0.15563312373585567
5,2,entropy,30.396,0.2,0.8975012715368245,0.0031451476476550395
5,2,entropy,45.1672,0.2,0.7079100919375856,0.11002006798432563
5,2,entropy,58.1726,0.2,0.6861321783065232,0.01752916004044821
5,2,entropy,22.464,0.5,0.7308576625955219,0.004962164651047479
5,2,entropy,23.3968,0.5,0.6457080837835023,0.0022837367470299845
5,2,entropy,30.396,0.5,0.8983993053170833,0.0011779417582047074
5,2,entropy,45.1672,0.5,0.7354214693786095,0.08201201639241644
5,2,entropy,58.1726,0.5,0.6821023032882303,0.012495968221715835
5,2,entropy,22.464,0.7,0.720048978095235,0.007859057556582814
5,2,entropy,23.3968,0.7,0.7421954658433079,0.1362099342056547
5,2,entropy,30.396,0.7,0.9013284428175483,0.004647478200122247
5,2,entropy,45.1672,0.7,0.7641234232801902,0.0023265454472879863
5,2,entropy,58.1726,0.7,0.6767312412410098,0.011937005819239841
5,5,gini,22.464,0.1,0.7142456759176755,0.03629818507345794
5,5,gini,23.3968,0.1,0.7383912915986774,0.13798061129106487
5,5,gini,30.396,0.1,0.8879744998750404,0.010802541893627044
