max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,22.464,0.1,1,0.5,0.0
5,2,gini,22.464,0.1,2,0.5,0.0
5,2,gini,22.464,0.1,3,0.5,0.0
5,2,gini,22.464,0.1,4,0.5,0.0
5,2,gini,22.464,0.1,5,0.5,0.0
5,2,gini,22.464,0.1,6,0.5,0.0
5,2,gini,22.464,0.1,7,0.5,0.0
5,2,gini,22.464,0.1,8,0.5,0.0
5,2,gini,22.464,0.1,9,0.5,0.0
5,2,gini,22.464,0.1,10,0.5,0.0
5,2,gini,22.464,0.1,11,0.5,0.0
5,2,gini,22.464,0.1,12,0.5,0.0
5,2,gini,22.464,0.1,13,0.5,0.0
5,2,gini,22.464,0.1,14,0.5,0.0
5,2,gini,22.464,0.1,15,0.5365471531325932,0.049684971137997545
5,2,gini,22.464,0.1,16,0.510082972529215,0.01192932245621632
5,2,gini,22.464,0.1,17,0.5975269579356229,0.024269221172095908
5,2,gini,22.464,0.1,18,0.6137239102951749,0.01891233294806556
5,2,gini,22.464,0.1,19,0.610257964571647,0.016845224273309017
5,2,gini,22.464,0.1,20,0.662626352616919,0.02562620137993739
5,2,gini,22.464,0.1,21,0.6606569963308863,0.0366249364093615
5,2,gini,22.464,0.1,22,0.7223229703778975,0.017027069412315188
5,2,gini,22.464,0.1,23,0.718298508418202,0.02498754561227938
5,2,gini,22.464,0.1,24,0.7208501892659689,0.020782805700220987
5,2,gini,22.464,0.1,25,0.7155588019159166,0.013776943040504351
5,2,gini,22.464,0.1,26,0.7267880367012427,0.018781858725900515
5,2,gini,22.464,0.1,27,0.7246361185600322,0.016015310236368777
5,2,gini,22.464,0.1,28,0.7232405668413395,0.015321070020840984
5,2,gini,22.464,0.1,29,0.7169070168200146,0.023712240670392352
5,2,gini,22.464,0.1,30,0.7238967367631876,0.021918346415413254
5,2,gini,22.464,0.1,31,0.7211406144694441,0.021905954691632194
5,2,gini,22.464,0.1,32,0.7225811815337491,0.02174215324182834
5,2,gini,23.3968,0.1,1,0.5,0.0
5,2,gini,23.3968,0.1,2,0.6303016040109076,0.06108524212594763
5,2,gini,23.3968,0.1,3,0.6895813485303874,0.054445162882895616
5,2,gini,23.3968,0.1,4,0.7921406134720225,0.04730578968226998
5,2,gini,23.3968,0.1,5,0.80367202817987,0.04919371056599413
5,2,gini,23.3968,0.1,6,0.7840524038623242,0.04140489759956356
5,2,gini,23.3968,0.1,7,0.8635350880076414,0.033717797528273016
5,2,gini,23.3968,0.1,8,0.8822495407484663,0.0029491015048586817
5,2,gini,23.3968,0.1,9,0.8821431719592754,0.002675630724503171
5,2,gini,23.3968,0.1,10,0.8824178341411415,0.002314935050011213
5,2,gini,23.3968,0.1,11,0.8819512821885122,0.0026796526341625808
5,2,gini,23.3968,0.1,12,0.8806393030580771,0.002880564972614715
5,2,gini,23.3968,0.1,13,0.8811480025887946,0.00326861952203933
5,2,gini,23.3968,0.1,14,0.8814458852454331,0.003753339451589669
5,2,gini,23.3968,0.1,15,0.8667291382839946,0.061180326887839635
5,2,gini,23.3968,0.1,16,0.8804159971089544,0.0036715455412568657
5,2,gini,23.3968,0.1,17,0.7135640705174275,0.14706745463524173
5,2,gini,23.3968,0.1,18,0.7652082458320784,0.15010990258645215
5,2,gini,23.3968,0.1,19,0.7080788408315559,0.1481249251304433
5,2,gini,23.3968,0.1,20,0.726049050262796,0.11962988151370814
5,2,gini,23.3968,0.1,21,0.6984552521509416,0.11115098075251524
5,2,gini,23.3968,0.1,22,0.6541703046287066,0.05341004351808491
5,2,gini,23.3968,0.1,23,0.6794178457659035,0.08976350996052405
5,2,gini,23.3968,0.1,24,0.6630606744269667,0.07625310308406358
5,2,gini,23.3968,0.1,25,0.7146842504345171,0.11510062336100715
5,2,gini,23.3968,0.1,26,0.7001802828875945,0.11042722739886979
5,2,gini,23.3968,0.1,27,0.6774441504947883,0.09050770802316396
5,2,gini,23.3968,0.1,28,0.6773236863583378,0.08993938733831983
5,2,gini,23.3968,0.1,29,0.7290531036818627,0.11986837274295994
5,2,gini,23.3968,0.1,30,0.6801156579546105,0.08953063761975631
5,2,gini,23.3968,0.1,31,0.6641857353593518,0.07557039906935392
5,2,gini,23.3968,0.1,32,0.6765595442087458,0.08930727988950335
5,2,gini,30.396,0.1,1,0.8480975064629612,0.0011609853191562184
5,2,gini,30.396,0.1,2,0.8482327474385498,0.000990717083487789
5,2,gini,30.396,0.1,3,0.8643371484784149,0.00223845997458973
5,2,gini,30.396,0.1,4,0.869928570952343,0.001518383870587594
5,2,gini,30.396,0.1,5,0.8697728302445844,0.001995314383758735
5,2,gini,30.396,0.1,6,0.8693812855639127,0.004352594691183827
5,2,gini,30.396,0.1,7,0.871297510403412,0.0024410505319753706
5,2,gini,30.396,0.1,8,0.8719328195421895,0.002808405254599438
5,2,gini,30.396,0.1,9,0.8702549553032464,0.002658178248737462
5,2,gini,30.396,0.1,10,0.8707537778186223,0.002632632025563518
5,2,gini,30.396,0.1,11,0.8701788697098948,0.0028233471437324174
5,2,gini,30.396,0.1,12,0.8716478728823439,0.0025498429961958186
5,2,gini,30.396,0.1,13,0.8810421808402576,0.003339867088312786
5,2,gini,30.396,0.1,14,0.8805948039403774,0.004345109696159625
5,2,gini,30.396,0.1,15,0.8819300586268934,0.005773401539081827
5,2,gini,30.396,0.1,16,0.8821472886883175,0.005168639539831576
5,2,gini,30.396,0.1,17,0.8912234500114847,0.008422271406194119
5,2,gini,30.396,0.1,18,0.8948514154817289,0.006674780503861277
5,2,gini,30.396,0.1,19,0.8957171842044443,0.0060584377302742775
5,2,gini,30.396,0.1,20,0.8936154178723592,0.006690755035117948
5,2,gini,30.396,0.1,21,0.8938848489808086,0.005777175756082445
5,2,gini,30.396,0.1,22,0.8956366338528505,0.006326927991434428
5,2,gini,30.396,0.1,23,0.8929855414343496,0.0054014814369573285
5,2,gini,30.396,0.1,24,0.8938723485906127,0.0039588749226237
5,2,gini,30.396,0.1,25,0.8934713485904938,0.006378025390619738
5,2,gini,30.396,0.1,26,0.8951391399773723,0.007425111404565224
5,2,gini,30.396,0.1,27,0.8954202282165713,0.0051409509771424165
5,2,gini,30.396,0.1,28,0.8946458585406247,0.00484827183877406
5,2,gini,30.396,0.1,29,0.8952464996046233,0.0053162916831787504
5,2,gini,30.396,0.1,30,0.8917609748115579,0.005483883178110563
5,2,gini,30.396,0.1,31,0.8938594858644182,0.005263316520170667
5,2,gini,30.396,0.1,32,0.8919415001690281,0.006151091104050348
5,2,gini,45.1672,0.1,1,0.5,0.0
5,2,gini,45.1672,0.1,2,0.6318758277292919,0.04512308678668465
5,2,gini,45.1672,0.1,3,0.6675589868518967,0.04899615716314583
5,2,gini,45.1672,0.1,4,0.6332718606681648,0.05879050467749729
5,2,gini,45.1672,0.1,5,0.6529736728167053,0.040841156662010464
5,2,gini,45.1672,0.1,6,0.6640874194624897,0.0312649664725551
5,2,gini,45.1672,0.1,7,0.665487443574843,0.05293123350819866
5,2,gini,45.1672,0.1,8,0.6649346380543086,0.04889102781381563
5,2,gini,45.1672,0.1,9,0.6684703890713103,0.045224595561145456
5,2,gini,45.1672,0.1,10,0.6717687752539595,0.05457459563114582
5,2,gini,45.1672,0.1,11,0.6607841036265624,0.04497041472700619
5,2,gini,45.1672,0.1,12,0.6542779316209199,0.032786718627899815
5,2,gini,45.1672,0.1,13,0.6538445327823776,0.029718232332769257
5,2,gini,45.1672,0.1,14,0.6678246771589262,0.04048226517256762
5,2,gini,45.1672,0.1,15,0.6777763032839891,0.04193329539080487
5,2,gini,45.1672,0.1,16,0.6795510587925059,0.03914081739743137
5,2,gini,45.1672,0.1,17,0.7260791046809485,0.06432131775855024
5,2,gini,45.1672,0.1,18,0.7583080158611504,0.06642664511922589
5,2,gini,45.1672,0.1,19,0.7438707828689569,0.06256402401186784
5,2,gini,45.1672,0.1,20,0.7369321841602573,0.08325750169151487
5,2,gini,45.1672,0.1,21,0.7486304080644978,0.07557880974721307
5,2,gini,45.1672,0.1,22,0.7502476202663203,0.07846514971181925
5,2,gini,45.1672,0.1,23,0.7704483946479374,0.06662960311902355
5,2,gini,45.1672,0.1,24,0.7327742770482203,0.08585321004207203
5,2,gini,45.1672,0.1,25,0.744690762616019,0.08240602249747832
5,2,gini,45.1672,0.1,26,0.7577122737503817,0.07556620889621377
5,2,gini,45.1672,0.1,27,0.7466110370980729,0.08787085972424502
5,2,gini,45.1672,0.1,28,0.7526606568941633,0.08402749614890229
5,2,gini,45.1672,0.1,29,0.7564459628560829,0.07953098046986509
5,2,gini,45.1672,0.1,30,0.7468226884941377,0.07898163950611925
5,2,gini,45.1672,0.1,31,0.76981477719326,0.05138200779738343
5,2,gini,45.1672,0.1,32,0.7465405621543855,0.06934099710266182
5,2,gini,58.1726,0.1,1,0.5,0.0
5,2,gini,58.1726,0.1,2,0.5,0.0
5,2,gini,58.1726,0.1,3,0.556551622811326,0.01256718288220107
5,2,gini,58.1726,0.1,4,0.5896754347698715,0.010801847561581352
5,2,gini,58.1726,0.1,5,0.6613487533750585,0.015309932559712573
5,2,gini,58.1726,0.1,6,0.6723345041134461,0.011477416894337317
5,2,gini,58.1726,0.1,7,0.6686181976863723,0.016717027637254755
5,2,gini,58.1726,0.1,8,0.6689116806347932,0.016842041135834616
5,2,gini,58.1726,0.1,9,0.6676645810733308,0.016670409538069912
5,2,gini,58.1726,0.1,10,0.6718962064274129,0.016314612908884845
5,2,gini,58.1726,0.1,11,0.6781415814617868,0.018331766219422275
5,2,gini,58.1726,0.1,12,0.6713273609245962,0.013290066092302983
5,2,gini,58.1726,0.1,13,0.6739838049249234,0.016764435978634595
5,2,gini,58.1726,0.1,14,0.6720592244659978,0.011444846652608063
5,2,gini,58.1726,0.1,15,0.6861430585299917,0.013935470234599172
5,2,gini,58.1726,0.1,16,0.681154580120267,0.01910229063057914
5,2,gini,58.1726,0.1,17,0.6799945501799238,0.01549528038822081
5,2,gini,58.1726,0.1,18,0.6736708000195939,0.02263214941589491
5,2,gini,58.1726,0.1,19,0.6844480212952748,0.014551138525139425
5,2,gini,58.1726,0.1,20,0.6776179571921103,0.020100693027446048
5,2,gini,58.1726,0.1,21,0.6757574499149889,0.015119377904479465
5,2,gini,58.1726,0.1,22,0.6751137088799177,0.020813014429502244
5,2,gini,58.1726,0.1,23,0.6788926960554672,0.01445201976997729
5,2,gini,58.1726,0.1,24,0.6858498015880045,0.0169948871614226
5,2,gini,58.1726,0.1,25,0.6871366361132407,0.017361576097278012
5,2,gini,58.1726,0.1,26,0.6815581068328739,0.014957098014083414
5,2,gini,58.1726,0.1,27,0.6785959406627502,0.016638769468115547
5,2,gini,58.1726,0.1,28,0.690608233638357,0.020418408396684778
5,2,gini,58.1726,0.1,29,0.6940476189241546,0.01751463072330376
5,2,gini,58.1726,0.1,30,0.6874936001961249,0.01567658214985571
5,2,gini,58.1726,0.1,31,0.6936349017311251,0.018564010840559628
5,2,gini,58.1726,0.1,32,0.6922918896323476,0.017723555680149095
5,2,gini,22.464,0.2,1,0.5,0.0
5,2,gini,22.464,0.2,2,0.5,0.0
5,2,gini,22.464,0.2,3,0.5,0.0
5,2,gini,22.464,0.2,4,0.5,0.0
5,2,gini,22.464,0.2,5,0.5,0.0
5,2,gini,22.464,0.2,6,0.5,0.0
5,2,gini,22.464,0.2,7,0.5,0.0
5,2,gini,22.464,0.2,8,0.5,0.0
5,2,gini,22.464,0.2,9,0.5,0.0
5,2,gini,22.464,0.2,10,0.5,0.0
5,2,gini,22.464,0.2,11,0.5,0.0
5,2,gini,22.464,0.2,12,0.5,0.0
5,2,gini,22.464,0.2,13,0.5,0.0
5,2,gini,22.464,0.2,14,0.5,0.0
5,2,gini,22.464,0.2,15,0.5226469864084043,0.04435909793100057
5,2,gini,22.464,0.2,16,0.5142320686556843,0.033438054445908874
5,2,gini,22.464,0.2,17,0.5931823380728447,0.006409500087388062
5,2,gini,22.464,0.2,18,0.6165463333983705,0.016411962030359026
5,2,gini,22.464,0.2,19,0.6157052282004181,0.01137224035269421
5,2,gini,22.464,0.2,20,0.6640172089197722,0.025275582517222218
5,2,gini,22.464,0.2,21,0.668373484638579,0.02140517130642766
5,2,gini,22.464,0.2,22,0.7267775062233686,0.013635865922132971
5,2,gini,22.464,0.2,23,0.718381237185424,0.014552120263806808
5,2,gini,22.464,0.2,24,0.7254028046946676,0.01416514506205901
5,2,gini,22.464,0.2,25,0.7253116652358402,0.011758598955744892
5,2,gini,22.464,0.2,26,0.7237555128457648,0.010601821121939276
5,2,gini,22.464,0.2,27,0.7185632443328906,0.021066718932033813
5,2,gini,22.464,0.2,28,0.7276757264372467,0.013113395508081348
5,2,gini,22.464,0.2,29,0.7280184897730053,0.015442291860929769
5,2,gini,22.464,0.2,30,0.7226209775105211,0.01299479396387444
5,2,gini,22.464,0.2,31,0.7239044881185476,0.013757738555772728
5,2,gini,22.464,0.2,32,0.7233511153674711,0.008622257353007845
5,2,gini,23.3968,0.2,1,0.5,0.0
5,2,gini,23.3968,0.2,2,0.6467323884416332,0.0030422997865098976
5,2,gini,23.3968,0.2,3,0.6733813788279173,0.0456984745929023
5,2,gini,23.3968,0.2,4,0.7602752118883699,0.06536343649760751
5,2,gini,23.3968,0.2,5,0.7855249650125794,0.036527969838225656
5,2,gini,23.3968,0.2,6,0.7807216097392408,0.03471854430150234
5,2,gini,23.3968,0.2,7,0.8752754287317984,0.0010704351965049386
5,2,gini,23.3968,0.2,8,0.8832149769155828,0.002221953247481745
5,2,gini,23.3968,0.2,9,0.8823136446326348,0.001967290062795245
5,2,gini,23.3968,0.2,10,0.8826572065925008,0.002590615357047297
5,2,gini,23.3968,0.2,11,0.8817406797983469,0.00248967124725052
5,2,gini,23.3968,0.2,12,0.8813654967757187,0.00275893467807387
5,2,gini,23.3968,0.2,13,0.8832383699229664,0.0015887500291652881
5,2,gini,23.3968,0.2,14,0.8819991863932246,0.003025289444490359
5,2,gini,23.3968,0.2,15,0.8682986297372783,0.062003433415087725
5,2,gini,23.3968,0.2,16,0.8827833499932469,0.002084719085548783
5,2,gini,23.3968,0.2,17,0.780069721704143,0.15516354202885893
5,2,gini,23.3968,0.2,18,0.7229800855733541,0.15229296985401897
5,2,gini,23.3968,0.2,19,0.7357596893895233,0.14966256061465286
5,2,gini,23.3968,0.2,20,0.7018445434623577,0.11014171334631623
5,2,gini,23.3968,0.2,21,0.6891032978500173,0.10234612909572725
5,2,gini,23.3968,0.2,22,0.6680710253962883,0.07541299596186825
5,2,gini,23.3968,0.2,23,0.6772773458456036,0.08958180362885826
5,2,gini,23.3968,0.2,24,0.7126183639142717,0.11733105478306574
5,2,gini,23.3968,0.2,25,0.6763949323472822,0.09147325311477493
5,2,gini,23.3968,0.2,26,0.6661085267003461,0.07576171247888268
5,2,gini,23.3968,0.2,27,0.6669278884340093,0.07641563037267891
5,2,gini,23.3968,0.2,28,0.6411125956639552,0.002644555315768674
5,2,gini,23.3968,0.2,29,0.6555690528314491,0.05495117301141403
5,2,gini,23.3968,0.2,30,0.6769433955336028,0.09145441202227814
5,2,gini,23.3968,0.2,31,0.6669011304406275,0.0755250743756346
5,2,gini,23.3968,0.2,32,0.6524510336901529,0.056594445837414534
5,2,gini,30.396,0.2,1,0.8485684617946119,0.0010932298515123659
5,2,gini,30.396,0.2,2,0.8485271982824868,0.001721806612929632
5,2,gini,30.396,0.2,3,0.8643236896434185,0.001539382995743504
5,2,gini,30.396,0.2,4,0.870863917753554,0.0014765101672003101
5,2,gini,30.396,0.2,5,0.8712802183840374,0.001878835232737582
5,2,gini,30.396,0.2,6,0.8709929927061296,0.001642260089062284
5,2,gini,30.396,0.2,7,0.8716612741690215,0.0028694279079944265
5,2,gini,30.396,0.2,8,0.8721033346671188,0.0027584727309630467
5,2,gini,30.396,0.2,9,0.8710431277935321,0.0020908906559172153
5,2,gini,30.396,0.2,10,0.8723173597896808,0.002192597108057425
5,2,gini,30.396,0.2,11,0.8713576276484616,0.002650683928933242
5,2,gini,30.396,0.2,12,0.8725782328354352,0.002444545143647841
5,2,gini,30.396,0.2,13,0.8831184242520127,0.0038856101816500226
5,2,gini,30.396,0.2,14,0.8843576917335817,0.00289672205002046
5,2,gini,30.396,0.2,15,0.8861549689832875,0.00393421996147571
5,2,gini,30.396,0.2,16,0.8872377757629974,0.006174295930540609
5,2,gini,30.396,0.2,17,0.8962162645075724,0.0031261796988827973
5,2,gini,30.396,0.2,18,0.8982783374372746,0.005107790482074058
5,2,gini,30.396,0.2,19,0.9013949495997011,0.0038278227078902168
5,2,gini,30.396,0.2,20,0.8976853926021928,0.006926070677053792
5,2,gini,30.396,0.2,21,0.8983037001049683,0.005540404432943575
5,2,gini,30.396,0.2,22,0.9006865324528441,0.003978251663920682
5,2,gini,30.396,0.2,23,0.899205536636466,0.0051847249209617825
5,2,gini,30.396,0.2,24,0.8979137120363996,0.005283873956286895
5,2,gini,30.396,0.2,25,0.8985244217036319,0.004299031703340062
5,2,gini,30.396,0.2,26,0.8969943839005735,0.005363374627345217
5,2,gini,30.396,0.2,27,0.8979260047847415,0.007105399218046285
5,2,gini,30.396,0.2,28,0.8966394975080568,0.006230992477714878
5,2,gini,30.396,0.2,29,0.8994174743097488,0.004065710164512687
5,2,gini,30.396,0.2,30,0.8968725647578651,0.005894586567758296
5,2,gini,30.396,0.2,31,0.8988704156304183,0.005496391649961878
5,2,gini,30.396,0.2,32,0.9010187893327197,0.004462078599782896
5,2,gini,45.1672,0.2,1,0.5,0.0
5,2,gini,45.1672,0.2,2,0.6459843033112257,0.0020314571346746538
5,2,gini,45.1672,0.2,3,0.667302194232343,0.04721366100173491
5,2,gini,45.1672,0.2,4,0.6244263338347207,0.05809753670799822
