mean,std,max_depth,min_samples_split,criterion,threshold,training_size
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8485004500616229,0.0009699060424027967,5,2,mse,30.396,0.1
0.8014162375072494,0.0010270091857990154,5,2,mse,45.1672,0.1
0.5,0.0,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8379880502750169,0.020239774030265795,5,2,mse,30.396,0.1
0.6623313541860298,0.027869150449903617,5,2,mse,45.1672,0.1
0.5,0.0,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8656672480943289,0.0009459703617827678,5,2,mse,30.396,0.1
0.6991995777942441,0.020939477489289142,5,2,mse,45.1672,0.1
0.5605512977052098,0.009495372195319159,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8708728520109201,0.0013333765535346348,5,2,mse,30.396,0.1
0.6923917251767842,0.011870443601714948,5,2,mse,45.1672,0.1
0.5951652788491232,0.008532812959392755,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.87048391882178,0.0016872676861288628,5,2,mse,30.396,0.1
0.7354471879676358,0.0037027538869386454,5,2,mse,45.1672,0.1
0.6687158461257982,0.01200026481969343,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.869883817120186,0.0012714432367435995,5,2,mse,30.396,0.1
0.7991531567597665,0.02622495946541207,5,2,mse,45.1672,0.1
0.6654917460061316,0.013791650988542233,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8682058603202476,0.00514461225217694,5,2,mse,30.396,0.1
0.7942401281122888,0.02743474090315882,5,2,mse,45.1672,0.1
0.6700984865463899,0.015373565057451508,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8696222853123651,0.004122327951692565,5,2,mse,30.396,0.1
0.7952745468809359,0.03979675361621267,5,2,mse,45.1672,0.1
0.671546331032615,0.017671083168400947,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8680608713440356,0.003933577593454508,5,2,mse,30.396,0.1
0.8075813186032482,0.017599956264351953,5,2,mse,45.1672,0.1
0.6688742056234106,0.013549341650945733,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8681617486662118,0.003968229849228624,5,2,mse,30.396,0.1
0.8130274816138618,0.015450643689296214,5,2,mse,45.1672,0.1
0.6731171725762763,0.013980902418800938,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8683663776916919,0.0043795952145665165,5,2,mse,30.396,0.1
0.7878187095446234,0.03774241161800417,5,2,mse,45.1672,0.1
0.6712588958518011,0.013209947743514626,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8688805238190422,0.0020884966515142002,5,2,mse,30.396,0.1
0.8084508836325964,0.020673422346676764,5,2,mse,45.1672,0.1
0.6721432222118502,0.01915294734321854,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8705461920725757,0.005745362905042758,5,2,mse,30.396,0.1
0.7961314391740488,0.04817744988481063,5,2,mse,45.1672,0.1
0.6694893766350412,0.02262098442935399,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8719468161392296,0.005586735270687758,5,2,mse,30.396,0.1
0.8071104668363771,0.021816488173078106,5,2,mse,45.1672,0.1
0.6704619347244262,0.015660380171146116,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8756386614663976,0.006550114771907981,5,2,mse,30.396,0.1
0.8095142578497754,0.03482286802499322,5,2,mse,45.1672,0.1
0.6749739936149308,0.022666479213761928,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5000307815284121,0.00013765917996161545,5,2,mse,23.3968,0.1
0.8784771952659843,0.004321711642945263,5,2,mse,30.396,0.1
0.8056901892346169,0.026474399186078038,5,2,mse,45.1672,0.1
0.6724609774561394,0.01550270758383999,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8782162483428453,0.006642604686766486,5,2,mse,30.396,0.1
0.8086303847388241,0.02119013756152613,5,2,mse,45.1672,0.1
0.669286478319326,0.012417185370491676,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8786286244861847,0.005116708646989329,5,2,mse,30.396,0.1
0.8048377712965064,0.021237528304891548,5,2,mse,45.1672,0.1
0.669737745738747,0.013164570865283259,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8785235477778807,0.004039811422834129,5,2,mse,30.396,0.1
0.8010853154135894,0.023977094411860193,5,2,mse,45.1672,0.1
0.6673855562398726,0.012600489546521073,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8769578365079379,0.005769570830694386,5,2,mse,30.396,0.1
0.8185138008951505,0.01357842324496078,5,2,mse,45.1672,0.1
0.6680473441634401,0.01391488160416779,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5001526764005165,0.0006827896202296042,5,2,mse,23.3968,0.1
0.8813421784883699,0.001757922541095907,5,2,mse,30.396,0.1
0.8009002932249505,0.04122002116232914,5,2,mse,45.1672,0.1
0.6669335491327899,0.016677665834576465,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5001541430775622,0.0006893487993801388,5,2,mse,23.3968,0.1
0.8776893313382796,0.006336770516529143,5,2,mse,30.396,0.1
0.7912570323896115,0.0423727460284174,5,2,mse,45.1672,0.1
0.6740861296567902,0.019141064994534992,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.500020937693898,9.36362136962889e-05,5,2,mse,23.3968,0.1
0.8772361862598144,0.005218812726731169,5,2,mse,30.396,0.1
0.7999404759760966,0.03569184377446273,5,2,mse,45.1672,0.1
0.6705429025540472,0.02478099707768288,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.50002045323799,9.146966101120847e-05,5,2,mse,23.3968,0.1
0.8772741942849706,0.007044732023369134,5,2,mse,30.396,0.1
0.7824118370016571,0.06491631273881093,5,2,mse,45.1672,0.1
0.6729208769508942,0.022995016806200624,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8794819941189171,0.006678544225589944,5,2,mse,30.396,0.1
0.8086093018705179,0.024380793633350585,5,2,mse,45.1672,0.1
0.6749482883209806,0.01910981064089051,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8781849520993272,0.006798708372454545,5,2,mse,30.396,0.1
0.814688866824502,0.018365395792326947,5,2,mse,45.1672,0.1
0.673964323307686,0.020876138830826778,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8774775604613918,0.004260636596559101,5,2,mse,30.396,0.1
0.8036127676960853,0.03189273420244404,5,2,mse,45.1672,0.1
0.6771815392840501,0.018738118322393447,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8775682943425659,0.004292687441632499,5,2,mse,30.396,0.1
0.802820144911764,0.03954329787191075,5,2,mse,45.1672,0.1
0.67579462141708,0.016037463609570993,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5000158194442317,7.074670533633136e-05,5,2,mse,23.3968,0.1
0.8769056774537415,0.005276560323888338,5,2,mse,30.396,0.1
0.8090391155002937,0.02073401352815762,5,2,mse,45.1672,0.1
0.6729955596114217,0.014499287713874895,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8764061394379962,0.006045806682152435,5,2,mse,30.396,0.1
0.7940582374281475,0.04184564011100893,5,2,mse,45.1672,0.1
0.6704756706345149,0.02034521389295115,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8777576882071927,0.004688430716887279,5,2,mse,30.396,0.1
0.8049535230776586,0.03527934366040316,5,2,mse,45.1672,0.1
0.669542395887649,0.022515149777288797,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.1
0.5,0.0,5,2,mse,23.3968,0.1
0.8786459641012028,0.004783057957981092,5,2,mse,30.396,0.1
0.8055499290290415,0.03403838527666324,5,2,mse,45.1672,0.1
0.6693994858481807,0.016958443965572664,5,2,mse,58.1726,0.1
0.5,0.0,5,2,mse,22.464,0.2
0.5,0.0,5,2,mse,23.3968,0.2
