max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,173.89499999999998,0.1,1,0.5,0.0
5,2,gini,173.89499999999998,0.1,2,0.5,0.0
5,2,gini,173.89499999999998,0.1,3,0.8636066423267923,0.04416413756983432
5,2,gini,173.89499999999998,0.1,4,0.8761965638940697,0.036397311498992016
5,2,gini,173.89499999999998,0.1,5,0.8419524463077088,0.05259029816589374
5,2,gini,173.89499999999998,0.1,6,0.8725701218564132,0.024875747163389826
5,2,gini,173.89499999999998,0.1,7,0.8459585647890584,0.04241416014509713
5,2,gini,173.89499999999998,0.1,8,0.8513683300233226,0.05113206352432664
5,2,gini,173.89499999999998,0.1,9,0.8546104307175645,0.03086869848014095
5,2,gini,173.89499999999998,0.1,10,0.8598745917732087,0.039276384635639684
5,2,gini,173.89499999999998,0.1,11,0.8521664752436873,0.049492748633531904
5,2,gini,173.89499999999998,0.1,12,0.8451364509112566,0.038344066905753496
5,2,gini,173.89499999999998,0.1,13,0.8572810563799464,0.037418247953267696
5,2,gini,214.959,0.1,1,0.5,0.0
5,2,gini,214.959,0.1,2,0.6784008896013365,0.06917447499363413
5,2,gini,214.959,0.1,3,0.8388141427360296,0.04373865315755771
5,2,gini,214.959,0.1,4,0.8530417653464919,0.03634167869618531
5,2,gini,214.959,0.1,5,0.8620742077619203,0.028508396467007934
5,2,gini,214.959,0.1,6,0.8622396813075974,0.021068015288539542
5,2,gini,214.959,0.1,7,0.8539952331793608,0.025857817403902365
5,2,gini,214.959,0.1,8,0.8485357628457253,0.02744089217294595
5,2,gini,214.959,0.1,9,0.836628032674845,0.03235127777016236
5,2,gini,214.959,0.1,10,0.8475416723401155,0.025438744636536736
5,2,gini,214.959,0.1,11,0.8411723488307283,0.029095554232449767
5,2,gini,214.959,0.1,12,0.8490434362304733,0.04451061822473446
5,2,gini,214.959,0.1,13,0.8454375122264641,0.029026775855066043
5,2,gini,312.56100000000004,0.1,1,0.6672932464100678,0.0020645589436830455
5,2,gini,312.56100000000004,0.1,2,0.7593948172303518,0.011657681547179992
5,2,gini,312.56100000000004,0.1,3,0.8074754650664415,0.00937745971191146
5,2,gini,312.56100000000004,0.1,4,0.8394932739820675,0.010417162949892486
5,2,gini,312.56100000000004,0.1,5,0.8723961027447086,0.016835339065837597
5,2,gini,312.56100000000004,0.1,6,0.8652534303215595,0.02468593083545106
5,2,gini,312.56100000000004,0.1,7,0.8614577632467622,0.020568388102200155
5,2,gini,312.56100000000004,0.1,8,0.8706399231712043,0.01779563349813773
5,2,gini,312.56100000000004,0.1,9,0.8762280583360111,0.017397980188529994
5,2,gini,312.56100000000004,0.1,10,0.8621908682304863,0.02182145134630942
5,2,gini,312.56100000000004,0.1,11,0.8682787832500936,0.019087397203499522
