max_depth,min_samples_split,criterion,threshold,training_size,mean,std
5,2,gini,214.01266666666692,0.1,0.8614760231452842,0.04554469668068139
5,2,gini,219.63266666666698,0.1,0.9594575020065047,0.0069343252840589845
5,2,gini,236.9216666666665,0.1,0.9020744326447767,0.0232265966808562
5,2,gini,252.1320000000002,0.1,0.7070427435802576,0.05849012825427224
5,2,gini,259.4679999999999,0.1,0.6907837524690666,0.10715352108655075
5,2,gini,214.01266666666692,0.2,0.8878095625829703,0.007634393489906217
5,2,gini,219.63266666666698,0.2,0.9502282031403183,0.014316607465273018
5,2,gini,236.9216666666665,0.2,0.9306234231185586,0.013589154228057955
5,2,gini,252.1320000000002,0.2,0.742105612557056,0.04121870932353757
5,2,gini,259.4679999999999,0.2,0.689553615507813,0.1383286753499447
5,2,gini,214.01266666666692,0.5,0.8988057308707965,0.02470150956204944
5,2,gini,219.63266666666698,0.5,0.9483315109343178,0.006414509169540066
5,2,gini,236.9216666666665,0.5,0.9391930535574277,0.008575955992448984
5,2,gini,252.1320000000002,0.5,0.7401002694360495,0.05607389215977119
5,2,gini,259.4679999999999,0.5,0.7789511784667243,0.16087220847170403
5,2,gini,214.01266666666692,0.7,0.9075294420104383,0.033285388031630114
5,2,gini,219.63266666666698,0.7,0.9560496608532368,0.007527177764693649
5,2,gini,236.9216666666665,0.7,0.9505863843062791,0.007374643128071985
5,2,gini,252.1320000000002,0.7,0.7565592898105888,0.04881430531293225
5,2,gini,259.4679999999999,0.7,0.8422253946651039,0.16295790039422517
5,2,entropy,214.01266666666692,0.1,0.8767055876120102,0.051881734055100284
5,2,entropy,219.63266666666698,0.1,0.9395943437513946,0.009725936990731548
5,2,entropy,236.9216666666665,0.1,0.9148129876460166,0.017281676409468535
5,2,entropy,252.1320000000002,0.1,0.6652736669603815,0.05459440800526306
5,2,entropy,259.4679999999999,0.1,0.7121316419424546,0.13238417606316957
5,2,entropy,214.01266666666692,0.2,0.8974737049633159,0.014726475409447331
5,2,entropy,219.63266666666698,0.2,0.951892688927588,0.004427391156527582
5,2,entropy,236.9216666666665,0.2,0.9328877852665467,0.008876702825615273
5,2,entropy,252.1320000000002,0.2,0.6925585883839964,0.03947220579416862
5,2,entropy,259.4679999999999,0.2,0.7326504081329124,0.12756911157975456
5,2,entropy,214.01266666666692,0.5,0.8946727525382787,0.028974473939963562
5,2,entropy,219.63266666666698,0.5,0.959439215169439,0.0021714720512796748
5,2,entropy,236.9216666666665,0.5,0.9373342837591518,0.009250378958077662
5,2,entropy,252.1320000000002,0.5,0.7439337178447983,0.08835699545792843
5,2,entropy,259.4679999999999,0.5,0.7570184822767586,0.08526011544675692
5,2,entropy,214.01266666666692,0.7,0.8842379809446166,0.05120612404831914
5,2,entropy,219.63266666666698,0.7,0.9503009217012577,0.025349606650451592
5,2,entropy,236.9216666666665,0.7,0.9454515062672307,0.0147282146093433
5,2,entropy,252.1320000000002,0.7,0.7829565318882676,0.04314178437583281
5,2,entropy,259.4679999999999,0.7,0.7946019886535318,0.16320087575624143
5,5,gini,214.01266666666692,0.1,0.8748398269703707,0.05226084182110633
5,5,gini,219.63266666666698,0.1,0.9513238911934196,0.01180491360164155
5,5,gini,236.9216666666665,0.1,0.9201935047814963,0.013927751290337064
5,5,gini,252.1320000000002,0.1,0.687704793836588,0.08017920787650037
5,5,gini,259.4679999999999,0.1,0.7019506022011819,0.08680284524057397
5,5,gini,214.01266666666692,0.2,0.8857627539104815,0.029599296326387036
5,5,gini,219.63266666666698,0.2,0.9542477182389533,0.007771361188740488
5,5,gini,236.9216666666665,0.2,0.9134420082917689,0.0182822974647132
5,5,gini,252.1320000000002,0.2,0.7007956955113821,0.036389529997730374
5,5,gini,259.4679999999999,0.2,0.6917113428055564,0.07471371624280859
5,5,gini,214.01266666666692,0.5,0.9003305098521895,0.0273284664768831
5,5,gini,219.63266666666698,0.5,0.9552854247094114,0.015948793971023632
5,5,gini,236.9216666666665,0.5,0.940389728071452,0.010566086765855704
5,5,gini,252.1320000000002,0.5,0.7644293615770117,0.06138230024464506
5,5,gini,259.4679999999999,0.5,0.7497396211694036,0.19282142220975199
5,5,gini,214.01266666666692,0.7,0.880453337634769,0.050990005380921424
5,5,gini,219.63266666666698,0.7,0.9636318427255585,0.010144097206086958
5,5,gini,236.9216666666665,0.7,0.9429256729273288,0.010493996643698008
5,5,gini,252.1320000000002,0.7,0.780719147528526,0.06120148984321516
5,5,gini,259.4679999999999,0.7,0.8045010546645504,0.11488239876367384
5,5,entropy,214.01266666666692,0.1,0.8640203707851949,0.10612359300283287
5,5,entropy,219.63266666666698,0.1,0.9207420926888586,0.06743009599404472
5,5,entropy,236.9216666666665,0.1,0.9108441509387575,0.035561559375607205
5,5,entropy,252.1320000000002,0.1,0.7453543722675502,0.08149049091905362
5,5,entropy,259.4679999999999,0.1,0.6898547240158527,0.06697543716246396
5,5,entropy,214.01266666666692,0.2,0.8951806990044995,0.015042181810407862
5,5,entropy,219.63266666666698,0.2,0.9499705768121046,0.005293421250784348
5,5,entropy,236.9216666666665,0.2,0.9336736828681186,0.01707351862397769
5,5,entropy,252.1320000000002,0.2,0.759728830663188,0.07688530484046709
5,5,entropy,259.4679999999999,0.2,0.7562948721967332,0.07659162124707597
5,5,entropy,214.01266666666692,0.5,0.8940662522613515,0.015159167484271806
5,5,entropy,219.63266666666698,0.5,0.9487792840974013,0.010662879604386324
5,5,entropy,236.9216666666665,0.5,0.9428833773448513,0.008886974140816921
5,5,entropy,252.1320000000002,0.5,0.7334999874737059,0.07553045400761958
5,5,entropy,259.4679999999999,0.5,0.8170543530851099,0.08839071270462476
5,5,entropy,214.01266666666692,0.7,0.9198252390070876,0.03713698305510237
5,5,entropy,219.63266666666698,0.7,0.95817352781359,0.012893946747909425
5,5,entropy,236.9216666666665,0.7,0.950341802070499,0.010451738398107584
5,5,entropy,252.1320000000002,0.7,0.7420645107756952,0.0638579348987286
5,5,entropy,259.4679999999999,0.7,0.7887104628692823,0.12457977584170551
5,10,gini,214.01266666666692,0.1,0.8609601170151088,0.0940663936280461
5,10,gini,219.63266666666698,0.1,0.9430103544590006,0.019640877568632992
5,10,gini,236.9216666666665,0.1,0.9071237120757534,0.025011312053516362
5,10,gini,252.1320000000002,0.1,0.6993240618345282,0.08393793932327066
5,10,gini,259.4679999999999,0.1,0.673085441107859,0.07034253807969784
5,10,gini,214.01266666666692,0.2,0.8675445941100243,0.05673131241123677
5,10,gini,219.63266666666698,0.2,0.9561449300690998,0.01096390908059385
5,10,gini,236.9216666666665,0.2,0.9340523511727644,0.013669269139398777
5,10,gini,252.1320000000002,0.2,0.687793942931318,0.06136659625808205
5,10,gini,259.4679999999999,0.2,0.698565470754964,0.05936138400033823
