max_depth,min_samples_split,criterion,n_options,training_size,threshold,mean
18,2,gini,100,0.1,18760656,0.8111373926981756
18,2,gini,100,0.1,18760656,0.8227279277282809
18,2,gini,100,0.1,18760656,0.8311247518899862
18,2,gini,100,0.1,18760656,0.816921995723886
18,2,gini,100,0.1,18760656,0.8260583582833008
18,2,gini,100,0.1,21436619,0.861881066516023
18,2,gini,100,0.1,21436619,0.8517802448651521
18,2,gini,100,0.1,21436619,0.8634612200131981
18,2,gini,100,0.1,21436619,0.865394686977115
18,2,gini,100,0.1,21436619,0.8624766860953341
18,2,gini,100,0.1,31443996,0.8974380634891646
18,2,gini,100,0.1,31443996,0.8914475611076489
18,2,gini,100,0.1,31443996,0.8939104366247819
18,2,gini,100,0.1,31443996,0.8957542965859805
18,2,gini,100,0.1,31443996,0.8921984578676891
18,2,gini,100,0.1,54346448,0.9031937839450456
18,2,gini,100,0.1,54346448,0.9005241542143891
18,2,gini,100,0.1,54346448,0.9069420940894756
18,2,gini,100,0.1,54346448,0.9142944725130268
18,2,gini,100,0.1,54346448,0.9000039593024871
18,2,gini,100,0.1,86467304,0.9017885292249797
18,2,gini,100,0.1,86467304,0.8953018001108133
18,2,gini,100,0.1,86467304,0.9092580448825328
18,2,gini,100,0.1,86467304,0.8988748588207021
18,2,gini,100,0.1,86467304,0.8945414872468394
18,2,gini,100,0.2,18760656,0.8280705226618261
18,2,gini,100,0.2,18760656,0.8259128342915301
18,2,gini,100,0.2,18760656,0.8275511571289865
18,2,gini,100,0.2,18760656,0.8418125877097529
18,2,gini,100,0.2,18760656,0.8406354840449528
18,2,gini,100,0.2,21436619,0.8713927877878684
18,2,gini,100,0.2,21436619,0.8784093522961236
18,2,gini,100,0.2,21436619,0.8707080728295403
18,2,gini,100,0.2,21436619,0.8767228531952116
18,2,gini,100,0.2,21436619,0.8725317760897287
18,2,gini,100,0.2,31443996,0.9051448431189538
18,2,gini,100,0.2,31443996,0.9002771420243394
18,2,gini,100,0.2,31443996,0.9030831033339484
18,2,gini,100,0.2,31443996,0.9000662345014515
18,2,gini,100,0.2,31443996,0.902467362521938
18,2,gini,100,0.2,54346448,0.9141734392319476
18,2,gini,100,0.2,54346448,0.9179936874544858
18,2,gini,100,0.2,54346448,0.9152583815426936
18,2,gini,100,0.2,54346448,0.9135317050134156
18,2,gini,100,0.2,54346448,0.9147267889511328
18,2,gini,100,0.2,86467304,0.9169082391140224
18,2,gini,100,0.2,86467304,0.9102822454529236
18,2,gini,100,0.2,86467304,0.9055261536581056
18,2,gini,100,0.2,86467304,0.9152891687073748
18,2,gini,100,0.2,86467304,0.9148013091868912
18,2,gini,100,0.5,18760656,0.8408592652611132
18,2,gini,100,0.5,18760656,0.8613401794294846
18,2,gini,100,0.5,18760656,0.8457869075048408
18,2,gini,100,0.5,18760656,0.8522613653803734
18,2,gini,100,0.5,18760656,0.8518983808868792
18,2,gini,100,0.5,21436619,0.8884916461797895
18,2,gini,100,0.5,21436619,0.892783565318049
18,2,gini,100,0.5,21436619,0.885382946513442
18,2,gini,100,0.5,21436619,0.888340393184833
18,2,gini,100,0.5,21436619,0.888716920131408
18,2,gini,100,0.5,31443996,0.9110517999317278
18,2,gini,100,0.5,31443996,0.9103039694783048
18,2,gini,100,0.5,31443996,0.913257340371752
18,2,gini,100,0.5,31443996,0.9135685360713774
18,2,gini,100,0.5,31443996,0.9120308791545751
18,2,gini,100,0.5,54346448,0.9227661605569454
18,2,gini,100,0.5,54346448,0.9228877296187842
18,2,gini,100,0.5,54346448,0.9220931740434252
18,2,gini,100,0.5,54346448,0.9216459643896108
18,2,gini,100,0.5,54346448,0.9233960209764048
18,2,gini,100,0.5,86467304,0.9159163091927292
18,2,gini,100,0.5,86467304,0.9250118890904488
18,2,gini,100,0.5,86467304,0.9244849104847496
18,2,gini,100,0.5,86467304,0.9213004659968772
18,2,gini,100,0.5,86467304,0.923618922186476
18,2,gini,100,0.7,18760656,0.8548722989279631
18,2,gini,100,0.7,18760656,0.852719393974315
18,2,gini,100,0.7,18760656,0.8494792748805693
18,2,gini,100,0.7,18760656,0.8585727583192168
18,2,gini,100,0.7,18760656,0.8448662798091632
18,2,gini,100,0.7,21436619,0.8881010976455502
18,2,gini,100,0.7,21436619,0.8924361069436001
18,2,gini,100,0.7,21436619,0.8887996762970859
18,2,gini,100,0.7,21436619,0.8935735347328264
18,2,gini,100,0.7,21436619,0.8960229744123681
18,2,gini,100,0.7,31443996,0.9175511784480032
18,2,gini,100,0.7,31443996,0.9170507622532406
18,2,gini,100,0.7,31443996,0.9161114244913128
18,2,gini,100,0.7,31443996,0.9138684968868336
18,2,gini,100,0.7,31443996,0.9148241844683744
18,2,gini,100,0.7,54346448,0.9259248492705362
18,2,gini,100,0.7,54346448,0.9261541555404241
18,2,gini,100,0.7,54346448,0.928407462909406
18,2,gini,100,0.7,54346448,0.9251200190699641
18,2,gini,100,0.7,54346448,0.9239749307080598
18,2,gini,100,0.7,86467304,0.9323362148997932
18,2,gini,100,0.7,86467304,0.9272332695076604
18,2,gini,100,0.7,86467304,0.922180944536228
18,2,gini,100,0.7,86467304,0.9209780140127706
18,2,gini,100,0.7,86467304,0.9278463636072171
18,2,gini,200,0.1,18760656,0.8112275803335184
18,2,gini,200,0.1,18760656,0.8174791733014484
18,2,gini,200,0.1,18760656,0.8235468155180323
18,2,gini,200,0.1,18760656,0.8173649813956201
18,2,gini,200,0.1,18760656,0.8040182031610801
18,2,gini,200,0.1,21436619,0.8553051490096131
18,2,gini,200,0.1,21436619,0.8522685293636914
18,2,gini,200,0.1,21436619,0.8543224403349324
18,2,gini,200,0.1,21436619,0.8616715286582245
18,2,gini,200,0.1,21436619,0.8588615134122628
18,2,gini,200,0.1,31443996,0.8925863160784755
18,2,gini,200,0.1,31443996,0.8955060166489839
18,2,gini,200,0.1,31443996,0.8895392272623813
18,2,gini,200,0.1,31443996,0.8897173342262752
18,2,gini,200,0.1,31443996,0.8907353615423879
18,2,gini,200,0.1,54346448,0.9080056246936592
18,2,gini,200,0.1,54346448,0.904024505592663
18,2,gini,200,0.1,54346448,0.8996688191553057
18,2,gini,200,0.1,54346448,0.905287279655868
18,2,gini,200,0.1,54346448,0.8974684685384524
18,2,gini,200,0.1,86467304,0.8924845715246201
18,2,gini,200,0.1,86467304,0.8832782150657346
18,2,gini,200,0.1,86467304,0.8974694567724231
18,2,gini,200,0.1,86467304,0.8884021644892552
18,2,gini,200,0.1,86467304,0.8949100275505028
18,2,gini,200,0.2,18760656,0.8283858249891636
18,2,gini,200,0.2,18760656,0.8332378330809422
18,2,gini,200,0.2,18760656,0.819008540660529
18,2,gini,200,0.2,18760656,0.8327992186794269
18,2,gini,200,0.2,18760656,0.8323040389767069
18,2,gini,200,0.2,21436619,0.8766461331066395
18,2,gini,200,0.2,21436619,0.8704392503664271
18,2,gini,200,0.2,21436619,0.8727823254070501
18,2,gini,200,0.2,21436619,0.8643144545118294
18,2,gini,200,0.2,21436619,0.8620819485200354
18,2,gini,200,0.2,31443996,0.8985682585938699
18,2,gini,200,0.2,31443996,0.8983451860793557
18,2,gini,200,0.2,31443996,0.9004294675759998
18,2,gini,200,0.2,31443996,0.8973677607254238
18,2,gini,200,0.2,31443996,0.8993745813917104
18,2,gini,200,0.2,54346448,0.9088545327663372
18,2,gini,200,0.2,54346448,0.9113874049209396
18,2,gini,200,0.2,54346448,0.9102272112492108
18,2,gini,200,0.2,54346448,0.9117443477392136
18,2,gini,200,0.2,54346448,0.9132379616629333
18,2,gini,200,0.2,86467304,0.9110033932859404
18,2,gini,200,0.2,86467304,0.905981990367182
18,2,gini,200,0.2,86467304,0.8989740335586452
18,2,gini,200,0.2,86467304,0.9088152012491301
18,2,gini,200,0.2,86467304,0.9082042262565752
18,2,gini,200,0.5,18760656,0.8438065192912738
18,2,gini,200,0.5,18760656,0.8449808939944816
18,2,gini,200,0.5,18760656,0.8489428486215352
18,2,gini,200,0.5,18760656,0.8491097747934814
18,2,gini,200,0.5,18760656,0.8469270685796684
18,2,gini,200,0.5,21436619,0.8799345807156801
18,2,gini,200,0.5,21436619,0.8832037994745103
18,2,gini,200,0.5,21436619,0.8811572100732747
18,2,gini,200,0.5,21436619,0.8886929023284127
18,2,gini,200,0.5,21436619,0.8845522883628039
18,2,gini,200,0.5,31443996,0.9105812492882088
18,2,gini,200,0.5,31443996,0.9102462087722007
18,2,gini,200,0.5,31443996,0.9118400433507928
18,2,gini,200,0.5,31443996,0.9080185461168708
18,2,gini,200,0.5,31443996,0.9125782064252936
18,2,gini,200,0.5,54346448,0.919910533831235
18,2,gini,200,0.5,54346448,0.9208674744753738
18,2,gini,200,0.5,54346448,0.9206907482652602
18,2,gini,200,0.5,54346448,0.9211169599531428
18,2,gini,200,0.5,54346448,0.9199924408524588
18,2,gini,200,0.5,86467304,0.9159771745245588
18,2,gini,200,0.5,86467304,0.921287939494004
18,2,gini,200,0.5,86467304,0.9221430494207644
18,2,gini,200,0.5,86467304,0.9228984610913752
18,2,gini,200,0.5,86467304,0.9221946992086693
18,2,gini,200,0.7,18760656,0.8503030317311118
18,2,gini,200,0.7,18760656,0.8540259227697627
18,2,gini,200,0.7,18760656,0.8441157073351155
18,2,gini,200,0.7,18760656,0.8572666775869093
18,2,gini,200,0.7,18760656,0.855238171716768
18,2,gini,200,0.7,21436619,0.887793026098839
18,2,gini,200,0.7,21436619,0.8913185798881419
18,2,gini,200,0.7,21436619,0.8854664814359503
18,2,gini,200,0.7,21436619,0.8842199118570411
18,2,gini,200,0.7,21436619,0.8886601298484815
18,2,gini,200,0.7,31443996,0.9125117426805552
18,2,gini,200,0.7,31443996,0.9188993749655496
18,2,gini,200,0.7,31443996,0.9117430751508964
18,2,gini,200,0.7,31443996,0.9128249641180326
18,2,gini,200,0.7,31443996,0.9131681800478529
18,2,gini,200,0.7,54346448,0.9252764694864568
18,2,gini,200,0.7,54346448,0.9243088437399344
18,2,gini,200,0.7,54346448,0.9218168570947264
18,2,gini,200,0.7,54346448,0.9255105166382169
18,2,gini,200,0.7,54346448,0.923257413691026
