max_depth,min_samples_split,criterion,n_options,training_size,threshold,mean
18,2,mse,100,0.1,18760656,0.8180856740694159
18,2,mse,100,0.1,21436619,0.8802990020443218
18,2,mse,100,0.1,31443996,0.9108095699826486
18,2,mse,100,0.1,54346448,0.9158693962795824
18,2,mse,100,0.1,18760656,0.8180856740694159
18,2,mse,100,0.1,86467304,0.9103330466459156
18,2,mse,100,0.1,18760656,0.8180856740694159
18,2,mse,100,0.1,21436619,0.8802990020443218
18,2,mse,100,0.1,18760656,0.8180856740694159
18,2,mse,100,0.1,18760656,0.8180856740694159
18,2,mse,100,0.1,21436619,0.8802990020443218
18,2,mse,100,0.1,31443996,0.9108095699826486
18,2,mse,100,0.1,21436619,0.8802990020443218
18,2,mse,100,0.1,21436619,0.8802990020443218
18,2,mse,100,0.1,31443996,0.9108095699826486
18,2,mse,100,0.1,54346448,0.9158693962795824
18,2,mse,100,0.1,31443996,0.9108095699826486
18,2,mse,100,0.1,54346448,0.9158693962795824
18,2,mse,100,0.1,31443996,0.9108095699826486
18,2,mse,100,0.1,54346448,0.9158693962795824
18,2,mse,100,0.1,54346448,0.9158693962795824
18,2,mse,100,0.1,86467304,0.9103330466459156
18,2,mse,100,0.1,86467304,0.9103330466459156
18,2,mse,100,0.1,86467304,0.9103330466459156
18,2,mse,100,0.1,86467304,0.9103330466459156
18,2,mse,100,0.2,18760656,0.8601620526671168
18,2,mse,100,0.2,18760656,0.8601620526671168
18,2,mse,100,0.2,18760656,0.8601620526671168
18,2,mse,100,0.2,18760656,0.8601620526671168
18,2,mse,100,0.2,18760656,0.8601620526671168
18,2,mse,100,0.2,21436619,0.8941244618049498
18,2,mse,100,0.2,21436619,0.8941244618049498
18,2,mse,100,0.2,21436619,0.8941244618049498
18,2,mse,100,0.2,21436619,0.8941244618049498
18,2,mse,100,0.2,21436619,0.8941244618049498
18,2,mse,100,0.2,31443996,0.9186336066824642
18,2,mse,100,0.2,31443996,0.9186336066824642
18,2,mse,100,0.2,31443996,0.9186336066824642
18,2,mse,100,0.2,31443996,0.9186336066824642
18,2,mse,100,0.2,31443996,0.9186336066824642
18,2,mse,100,0.2,54346448,0.9230091124393208
18,2,mse,100,0.2,54346448,0.9230091124393208
18,2,mse,100,0.2,54346448,0.9230091124393208
18,2,mse,100,0.2,54346448,0.9230091124393208
18,2,mse,100,0.2,54346448,0.9230091124393208
18,2,mse,100,0.2,86467304,0.9224488511560134
18,2,mse,100,0.2,86467304,0.9224488511560134
18,2,mse,100,0.2,86467304,0.9224488511560134
18,2,mse,100,0.2,86467304,0.9224488511560134
18,2,mse,100,0.2,86467304,0.9224488511560134
18,2,mse,100,0.5,18760656,0.8471984161509091
18,2,mse,100,0.5,21436619,0.8921914439864653
18,2,mse,100,0.5,18760656,0.8471984161509091
18,2,mse,100,0.5,21436619,0.8921914439864653
18,2,mse,100,0.5,31443996,0.9273044273263172
18,2,mse,100,0.5,18760656,0.8471984161509091
18,2,mse,100,0.5,31443996,0.9273044273263172
18,2,mse,100,0.5,18760656,0.8471984161509091
18,2,mse,100,0.5,54346448,0.9316890352291441
18,2,mse,100,0.5,21436619,0.8921914439864653
18,2,mse,100,0.5,54346448,0.9316890352291441
18,2,mse,100,0.5,86467304,0.934002714963481
18,2,mse,100,0.5,21436619,0.8921914439864653
18,2,mse,100,0.5,31443996,0.9273044273263172
18,2,mse,100,0.5,18760656,0.8471984161509091
18,2,mse,100,0.5,86467304,0.934002714963481
18,2,mse,100,0.5,54346448,0.9316890352291441
18,2,mse,100,0.5,31443996,0.9273044273263172
18,2,mse,100,0.5,21436619,0.8921914439864653
18,2,mse,100,0.5,86467304,0.934002714963481
18,2,mse,100,0.5,54346448,0.9316890352291441
18,2,mse,100,0.5,31443996,0.9273044273263172
18,2,mse,100,0.5,86467304,0.934002714963481
18,2,mse,100,0.5,54346448,0.9316890352291441
18,2,mse,100,0.5,86467304,0.934002714963481
18,2,mse,100,0.7,18760656,0.8529002244315744
18,2,mse,100,0.7,21436619,0.8870275413258615
18,2,mse,100,0.7,31443996,0.9253802328855713
18,2,mse,100,0.7,18760656,0.8529002244315744
18,2,mse,100,0.7,54346448,0.9325045938393252
18,2,mse,100,0.7,21436619,0.8870275413258615
18,2,mse,100,0.7,86467304,0.9320227489809176
18,2,mse,100,0.7,18760656,0.8529002244315744
18,2,mse,100,0.7,31443996,0.9253802328855713
18,2,mse,100,0.7,18760656,0.8529002244315744
18,2,mse,100,0.7,21436619,0.8870275413258615
18,2,mse,100,0.7,54346448,0.9325045938393252
18,2,mse,100,0.7,21436619,0.8870275413258615
18,2,mse,100,0.7,31443996,0.9253802328855713
18,2,mse,100,0.7,86467304,0.9320227489809176
18,2,mse,100,0.7,31443996,0.9253802328855713
18,2,mse,100,0.7,54346448,0.9325045938393252
18,2,mse,100,0.7,54346448,0.9325045938393252
18,2,mse,100,0.7,86467304,0.9320227489809176
18,2,mse,100,0.7,18760656,0.8529002244315744
18,2,mse,100,0.7,86467304,0.9320227489809176
18,2,mse,100,0.7,21436619,0.8870275413258615
18,2,mse,100,0.7,31443996,0.9253802328855713
18,2,mse,100,0.7,54346448,0.9325045938393252
18,2,mse,100,0.7,86467304,0.9320227489809176
18,2,mse,200,0.1,18760656,0.8253579882988414
18,2,mse,200,0.1,18760656,0.8253579882988414
18,2,mse,200,0.1,18760656,0.8253579882988414
18,2,mse,200,0.1,21436619,0.884820708095693
18,2,mse,200,0.1,21436619,0.884820708095693
18,2,mse,200,0.1,21436619,0.884820708095693
18,2,mse,200,0.1,31443996,0.905831310392356
18,2,mse,200,0.1,18760656,0.8253579882988414
18,2,mse,200,0.1,31443996,0.905831310392356
18,2,mse,200,0.1,31443996,0.905831310392356
18,2,mse,200,0.1,54346448,0.9128848445389548
18,2,mse,200,0.1,21436619,0.884820708095693
18,2,mse,200,0.1,54346448,0.9128848445389548
18,2,mse,200,0.1,86467304,0.9098397006279424
18,2,mse,200,0.1,31443996,0.905831310392356
18,2,mse,200,0.1,54346448,0.9128848445389548
18,2,mse,200,0.1,18760656,0.8253579882988414
18,2,mse,200,0.1,86467304,0.9098397006279424
18,2,mse,200,0.1,54346448,0.9128848445389548
18,2,mse,200,0.1,86467304,0.9098397006279424
18,2,mse,200,0.1,21436619,0.884820708095693
18,2,mse,200,0.1,86467304,0.9098397006279424
18,2,mse,200,0.1,31443996,0.905831310392356
18,2,mse,200,0.1,54346448,0.9128848445389548
18,2,mse,200,0.1,86467304,0.9098397006279424
18,2,mse,200,0.2,18760656,0.8411733813489384
18,2,mse,200,0.2,18760656,0.8411733813489384
18,2,mse,200,0.2,21436619,0.883773369052937
18,2,mse,200,0.2,18760656,0.8411733813489384
18,2,mse,200,0.2,21436619,0.883773369052937
18,2,mse,200,0.2,31443996,0.915366099047042
18,2,mse,200,0.2,18760656,0.8411733813489384
18,2,mse,200,0.2,21436619,0.883773369052937
18,2,mse,200,0.2,31443996,0.915366099047042
18,2,mse,200,0.2,54346448,0.9182390212220832
18,2,mse,200,0.2,21436619,0.883773369052937
18,2,mse,200,0.2,31443996,0.915366099047042
18,2,mse,200,0.2,54346448,0.9182390212220832
18,2,mse,200,0.2,86467304,0.9175976744080778
18,2,mse,200,0.2,18760656,0.8411733813489384
18,2,mse,200,0.2,54346448,0.9182390212220832
18,2,mse,200,0.2,86467304,0.9175976744080778
18,2,mse,200,0.2,31443996,0.915366099047042
18,2,mse,200,0.2,21436619,0.883773369052937
18,2,mse,200,0.2,86467304,0.9175976744080778
18,2,mse,200,0.2,54346448,0.9182390212220832
18,2,mse,200,0.2,31443996,0.915366099047042
18,2,mse,200,0.2,86467304,0.9175976744080778
18,2,mse,200,0.2,54346448,0.9182390212220832
18,2,mse,200,0.2,86467304,0.9175976744080778
18,2,mse,200,0.5,18760656,0.8570971151675708
18,2,mse,200,0.5,21436619,0.8903728342201642
18,2,mse,200,0.5,18760656,0.8570971151675708
18,2,mse,200,0.5,18760656,0.8570971151675708
18,2,mse,200,0.5,31443996,0.9272321258861792
18,2,mse,200,0.5,21436619,0.8903728342201642
18,2,mse,200,0.5,21436619,0.8903728342201642
18,2,mse,200,0.5,54346448,0.9331197960552772
18,2,mse,200,0.5,31443996,0.9272321258861792
18,2,mse,200,0.5,86467304,0.9308356625612996
18,2,mse,200,0.5,31443996,0.9272321258861792
18,2,mse,200,0.5,54346448,0.9331197960552772
18,2,mse,200,0.5,54346448,0.9331197960552772
18,2,mse,200,0.5,86467304,0.9308356625612996
18,2,mse,200,0.5,86467304,0.9308356625612996
18,2,mse,200,0.5,18760656,0.8570971151675708
18,2,mse,200,0.5,18760656,0.8570971151675708
18,2,mse,200,0.5,21436619,0.8903728342201642
18,2,mse,200,0.5,21436619,0.8903728342201642
18,2,mse,200,0.5,31443996,0.9272321258861792
18,2,mse,200,0.5,31443996,0.9272321258861792
18,2,mse,200,0.5,54346448,0.9331197960552772
18,2,mse,200,0.5,54346448,0.9331197960552772
18,2,mse,200,0.5,86467304,0.9308356625612996
18,2,mse,200,0.5,86467304,0.9308356625612996
18,2,mse,200,0.7,18760656,0.8608534584253674
18,2,mse,200,0.7,21436619,0.8940261680897186
18,2,mse,200,0.7,18760656,0.8608534584253674
18,2,mse,200,0.7,31443996,0.9258044171185889
18,2,mse,200,0.7,21436619,0.8940261680897186
18,2,mse,200,0.7,18760656,0.8608534584253674
18,2,mse,200,0.7,54346448,0.9321972569873536
18,2,mse,200,0.7,18760656,0.8608534584253674
18,2,mse,200,0.7,31443996,0.9258044171185889
18,2,mse,200,0.7,21436619,0.8940261680897186
18,2,mse,200,0.7,86467304,0.9376705661986496
18,2,mse,200,0.7,18760656,0.8608534584253674
18,2,mse,200,0.7,21436619,0.8940261680897186
18,2,mse,200,0.7,54346448,0.9321972569873536
18,2,mse,200,0.7,31443996,0.9258044171185889
18,2,mse,200,0.7,21436619,0.8940261680897186
18,2,mse,200,0.7,31443996,0.9258044171185889
18,2,mse,200,0.7,86467304,0.9376705661986496
18,2,mse,200,0.7,54346448,0.9321972569873536
18,2,mse,200,0.7,31443996,0.9258044171185889
18,2,mse,200,0.7,54346448,0.9321972569873536
18,2,mse,200,0.7,86467304,0.9376705661986496
18,2,mse,200,0.7,54346448,0.9321972569873536
18,2,mse,200,0.7,86467304,0.9376705661986496
18,2,mse,200,0.7,86467304,0.9376705661986496
18,2,mse,300,0.1,18760656,0.834392585013305
18,2,mse,300,0.1,18760656,0.834392585013305
18,2,mse,300,0.1,18760656,0.834392585013305
18,2,mse,300,0.1,18760656,0.834392585013305
18,2,mse,300,0.1,21436619,0.872974207747685
18,2,mse,300,0.1,21436619,0.872974207747685
18,2,mse,300,0.1,21436619,0.872974207747685
18,2,mse,300,0.1,18760656,0.834392585013305
18,2,mse,300,0.1,21436619,0.872974207747685
18,2,mse,300,0.1,31443996,0.9064044775549364
18,2,mse,300,0.1,31443996,0.9064044775549364
18,2,mse,300,0.1,31443996,0.9064044775549364
18,2,mse,300,0.1,21436619,0.872974207747685
18,2,mse,300,0.1,31443996,0.9064044775549364
18,2,mse,300,0.1,54346448,0.9118351792718924
18,2,mse,300,0.1,54346448,0.9118351792718924
18,2,mse,300,0.1,54346448,0.9118351792718924
18,2,mse,300,0.1,54346448,0.9118351792718924
18,2,mse,300,0.1,31443996,0.9064044775549364
18,2,mse,300,0.1,86467304,0.9058546740629893
18,2,mse,300,0.1,86467304,0.9058546740629893
18,2,mse,300,0.1,86467304,0.9058546740629893
18,2,mse,300,0.1,86467304,0.9058546740629893
18,2,mse,300,0.1,54346448,0.9118351792718924
18,2,mse,300,0.1,86467304,0.9058546740629893
18,2,mse,300,0.2,18760656,0.8377222597344137
18,2,mse,300,0.2,18760656,0.8377222597344137
18,2,mse,300,0.2,18760656,0.8377222597344137
18,2,mse,300,0.2,18760656,0.8377222597344137
18,2,mse,300,0.2,21436619,0.8900255169825707
18,2,mse,300,0.2,21436619,0.8900255169825707
18,2,mse,300,0.2,21436619,0.8900255169825707
18,2,mse,300,0.2,21436619,0.8900255169825707
18,2,mse,300,0.2,31443996,0.916996823716947
18,2,mse,300,0.2,31443996,0.916996823716947
18,2,mse,300,0.2,18760656,0.8377222597344137
18,2,mse,300,0.2,31443996,0.916996823716947
18,2,mse,300,0.2,54346448,0.9187203106022278
18,2,mse,300,0.2,31443996,0.916996823716947
18,2,mse,300,0.2,54346448,0.9187203106022278
18,2,mse,300,0.2,21436619,0.8900255169825707
18,2,mse,300,0.2,54346448,0.9187203106022278
18,2,mse,300,0.2,86467304,0.9206091013177806
18,2,mse,300,0.2,86467304,0.9206091013177806
18,2,mse,300,0.2,54346448,0.9187203106022278
18,2,mse,300,0.2,31443996,0.916996823716947
18,2,mse,300,0.2,86467304,0.9206091013177806
18,2,mse,300,0.2,86467304,0.9206091013177806
18,2,mse,300,0.2,54346448,0.9187203106022278
18,2,mse,300,0.2,86467304,0.9206091013177806
18,2,mse,300,0.5,18760656,0.8523822477770001
18,2,mse,300,0.5,18760656,0.8523822477770001
18,2,mse,300,0.5,21436619,0.8936370540691526
18,2,mse,300,0.5,21436619,0.8936370540691526
18,2,mse,300,0.5,31443996,0.9266001916345324
18,2,mse,300,0.5,18760656,0.8523822477770001
18,2,mse,300,0.5,31443996,0.9266001916345324
